,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1389.66417301,1394.86008123,1397.71384765,1394.26364731,1392.49233834,1392.34243837,1378.8761444,1386.66063615,1393.36517957,1395.76042778,1397.91923265,1381.89554672,1382.59332554,1378.06119947,1367.76563258,1363.02636133,1373.95055469,1385.98422137,1389.79524349,1394.58893143
1,1397.26585511,1392.07841769,1398.24824945,1396.66386424,1392.98451669,1399.31028956,1395.52148824,1379.38507165,1395.80162184,1392.17753494,1393.76283796,1363.74907507,1358.28092418,1360.20552681,1357.68634989,1348.23251506,1363.18171422,1386.14511493,1387.47171512,1394.1930894
2,1396.22548097,1391.37238184,1398.21382545,1399.20749457,1396.38532854,1396.64645876,1391.52114813,1384.98717287,1388.74463341,1390.59839658,1387.65545931,1366.64171055,1349.1934269,1345.54097022,1347.05805893,1345.78810456,1356.21347172,1387.22304177,1387.46320699,1392.98582147
3,1396.69898458,1386.43700352,1395.88813938,1396.37119914,1395.98721088,1387.27572374,1361.38048088,1393.80753604,1370.43620748,1388.04429458,1380.0552671,1371.22738911,1354.34747032,1345.03151809,1352.73642218,1341.91119031,1355.01715201,1388.43033549,1385.98120032,1387.83116866
4,1395.84508101,1392.93740387,1398.25857309,1396.54728096,1393.70907704,1384.55907971,1352.03518577,1384.94894967,1351.11849525,1389.81495904,1373.58989392,1380.17610089,1367.96288853,1347.9758065,1355.24680207,1341.88165082,1353.0759429,1383.07595836,1384.68909373,1381.50857585
5,1396.41555076,1391.76356735,1396.52833537,1396.70343156,1393.81958838,1383.80875004,1343.49660302,1358.02846792,1327.99951011,1397.95024804,1392.41644432,1397.21946919,1396.48147132,1389.97103509,1387.81990628,1381.49923389,1383.38714093,1385.58822494,1389.79696677,1381.55576826
6,1392.2574064,1394.58617481,1396.00936197,1396.20274501,1392.12726334,1393.56994144,1386.9635663,1377.60691981,1384.81567978,1387.46556361,1389.14770907,1346.29642206,1338.94508401,1349.24487731,1342.24804349,1345.76167391,1358.55681251,1373.05386724,1389.50996634,1395.49517747
7,1395.3483625,1394.01835884,1398.24230252,1400.04226721,1393.53974948,1394.62123525,1393.90117456,1377.40330442,1393.24617216,1394.96634458,1392.72228783,1358.04130134,1344.73163916,1338.93681248,1342.57538864,1347.38637742,1365.93407178,1387.31579253,1390.76834018,1392.66769508
8,1393.55782475,1390.74372069,1395.70517148,1395.22409764,1395.45537207,1388.16016444,1391.53785194,1382.18921096,1389.46455513,1392.05988636,1384.58719892,1362.68265198,1344.7665248,1339.30019828,1349.41709227,1345.3352008,1359.76439689,1386.19809401,1386.3051499,1390.74056718
9,1395.38664369,1394.90876357,1395.47898353,1398.8844497,1397.16753581,1386.40306913,1372.48802467,1395.15231609,1373.80122432,1391.48851836,1378.57272489,1376.90276143,1353.1814664,1338.30908344,1353.45488239,1347.37384879,1363.80076767,1387.82525772,1388.16462612,1387.85343953
10,1394.82753486,1392.91742489,1395.96597279,1395.08037167,1399.32196001,1387.88690479,1349.2279329,1375.88287617,1347.05174902,1395.77200135,1386.39585864,1390.92386769,1384.58090648,1366.79863523,1373.29368672,1367.77200321,1373.6306388,1385.75503986,1384.28456617,1386.29738158
11,1392.8235697,1395.99483229,1397.4847165,1395.51873627,1394.5938317,1387.50364932,1386.51619064,1370.31350751,1387.43519174,1388.76446776,1389.21777373,1354.60583127,1343.90812612,1347.72190895,1350.8515254,1350.69806041,1368.32662977,1380.17415281,1390.48355562,1394.93731657
12,1390.70057804,1393.12261857,1397.38867829,1398.34465683,1393.85201928,1388.58971196,1392.64390867,1376.44661154,1395.43122628,1392.17596599,1391.21414847,1351.98121718,1340.24630784,1337.26263416,1347.26414764,1348.36522325,1367.15777118,1388.51748625,1392.29421763,1394.66204678
13,1392.83169658,1395.06822373,1397.95180872,1397.24524022,1394.55898466,1388.03618773,1391.99609507,1378.29652852,1392.94136791,1393.28856095,1392.04614295,1358.79365627,1346.38289676,1339.39704006,1357.21678325,1355.50023922,1371.52975882,1389.75846859,1390.28721994,1395.12258761
