,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,478.199918457,480.182210993,476.746089194,478.013854988,475.125778746,473.584680218,481.36839081,477.792588446,464.710249537,455.435992258,474.38966037,475.274322476,472.473552702,470.554315943,462.209377854,466.297469403,461.537784252,469.114400811,473.497341517,477.232534526
1,476.209324621,481.301711234,479.690184908,477.223625444,472.797867969,472.392479942,482.194987687,459.470779002,456.872642992,460.337632427,478.262782187,478.437852472,472.762685107,473.378249119,471.646355792,475.380638401,476.008955839,478.207098423,478.159945928,481.168071219
2,476.278567608,478.565223118,476.033811544,478.210148547,471.079698983,471.707298957,478.870322484,448.321399889,452.073490132,473.833683433,479.600474391,471.15181935,471.140405517,468.605311086,474.692279952,474.348297726,478.01638606,477.207057199,477.0681945,480.970160568
3,474.703537505,481.360050393,475.779696781,479.062724925,473.217907721,468.72548678,477.560495214,442.769716804,449.788849923,482.240325019,469.663942267,463.725558168,466.162328389,468.480035603,477.416321836,475.745900614,477.461107314,476.836464693,477.700220853,476.176479883
4,475.895086081,482.001215428,477.249802682,479.493749794,472.789771436,469.701911697,474.582858236,435.437084811,452.863430603,480.582914435,463.225731485,463.672209336,466.025198608,475.845730499,476.557228884,477.466057203,480.406959972,479.838561995,480.102903777,478.398586447
5,476.789692382,477.042565285,478.444011438,475.034098793,475.763560789,475.035692288,476.379656608,437.87516188,464.090497768,468.541795344,464.321397323,467.146473035,474.819528264,476.484982979,476.86814165,475.604611374,475.492083818,475.878592162,476.937964962,473.177728136
6,476.079499326,477.713343383,477.678153191,479.800474168,473.499143767,475.549692348,479.880640058,468.199155401,459.804304491,462.30671955,479.208851482,475.948777205,469.224180757,465.488609919,468.242112794,473.774489525,473.033984636,475.797542537,477.23651828,480.20466616
7,474.833761857,480.262423966,479.119572634,480.537452969,474.098261185,472.039867396,479.064329272,452.688003878,454.332715619,467.873204604,483.283534855,475.151080979,468.207221964,469.180691692,472.467628734,472.925348946,477.038791462,478.822823491,477.372140266,477.176375716
8,474.475581212,482.051030873,477.394670088,477.983292472,472.63668875,472.766188266,476.940128661,446.103403815,453.410468468,474.468511681,476.422433336,469.426839727,464.742231552,468.115137961,475.690097856,471.039816287,474.064735831,476.462580465,478.546915571,475.337107539
9,475.695466127,480.008694174,477.146542066,478.234495008,472.89917539,474.284192592,474.065012593,438.718494188,451.354933575,479.048442679,470.291623429,463.559503746,463.722761083,469.806428678,478.148592772,474.340161185,482.246003101,475.71977402,480.189349074,477.719293263
