,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-14.5415666419,-16.3388089206,-16.8892743135,-12.4427609749,-15.3318962878,-15.2672639236,-14.7226498996,-15.0661992888,-21.4317694046,-29.0102406917,-30.1388889982,-35.8758317087,-27.8105433694,-22.9268671667,-22.7861397639,-22.2402502842,-16.9989878343,-16.5892522097,-18.6045728262,-20.7065175158
1,-16.5865578867,-13.089565674,-17.2756256213,-15.9495974938,-16.1908938819,-20.3146401904,-15.6871335714,-14.0811656417,-28.1432333614,-49.1141545069,-38.9208632797,-37.5922410394,-32.9350452951,-21.5020410766,-18.5336149791,-19.4638625123,-13.9695728852,-14.0658813338,-18.1082445778,-18.5500424204
2,-13.1107325459,-9.64245797327,-11.0200005076,-13.4636816415,-18.5951974292,-14.860925384,-37.9532663786,-18.6254963025,-34.5304304208,-64.6465643248,-49.9012012462,-33.220105431,-29.8964695243,-24.3824691848,-15.2838179938,-19.327031155,-16.2649103434,-14.5516865705,-16.9965815686,-12.9579745563
3,-11.1593290068,-11.445881117,-14.3730465371,-12.7946471206,-21.5513879405,-23.4232166391,-57.8697030554,-18.4139476475,-37.5202753198,-65.6777642291,-53.6266905236,-27.5035781126,-23.8994925683,-19.8751268551,-14.820260695,-17.3202183574,-18.031912269,-15.5235255115,-16.2674096622,-13.1562722616
4,-16.3857590102,-13.8565551424,-12.5289148444,-15.3151941071,-19.1610712035,-28.5495409095,-66.9843226979,-19.5845001014,-34.4243010707,-60.2031922626,-55.618488859,-24.37860148,-23.0093217316,-14.0934099898,-14.9297528662,-15.3035136134,-17.6830959854,-15.5778624532,-9.70491098419,-16.4338129463
5,-12.5703519532,-13.3670301927,-13.572563412,-21.7248126665,-20.0367905499,-31.8989680414,-56.8035368039,-22.1511651721,-28.4371763985,-52.3657341555,-44.8372794431,-16.0708690162,-17.9916023148,-17.515195103,-22.5025377307,-17.1380526173,-23.0412566162,-18.057450785,-15.4908326055,-20.6143882323
6,-17.5037817975,-12.4154128598,-18.4311856435,-16.9557407442,-15.3276612344,-15.8550629773,-14.7214372587,-12.0750923064,-21.2262728441,-40.6134119579,-30.8381969926,-34.2005414689,-32.5728035924,-28.4252571497,-22.2084147352,-19.6158350085,-16.8669900743,-15.721770254,-19.3326750498,-19.1814115927
7,-16.9426333573,-12.6762091099,-15.27440306,-17.7908479404,-18.7810424087,-16.8375508003,-15.2862814597,-16.5277761551,-28.3268822338,-50.8296311971,-39.6126869795,-30.9074197907,-31.688938372,-26.2896535459,-19.8714299984,-24.630206304,-18.3169400224,-15.1820946526,-15.8008007582,-12.5883394902
8,-19.7159848211,-13.0110060974,-14.8774480562,-15.4851353975,-20.836798589,-16.0737120681,-37.544081292,-17.0099507398,-38.2420058105,-69.5112256875,-54.8108021765,-34.1873336221,-30.7723590993,-24.3389219432,-21.0508093415,-21.6311467326,-14.3556662337,-13.6639969278,-11.2263203844,-14.9708223952
9,-18.7288567868,-12.0312184402,-13.139761354,-15.7366690822,-25.6789731743,-20.4548048399,-56.3505706569,-25.385849635,-40.9769335731,-69.2502037545,-58.9289160541,-29.9893571445,-25.6405289223,-19.8280064472,-16.9560617205,-16.1469304934,-18.6453430409,-21.7569406376,-9.06881415615,-18.0557230411
10,-15.5253023497,-12.1637435041,-10.522321105,-12.5409117543,-23.5338613567,-30.6388711837,-60.1413186532,-23.7358682025,-37.5663730921,-61.9057623093,-55.033433389,-24.5410859305,-19.7241301644,-13.4648870406,-20.8485828085,-17.782545895,-20.5180845002,-21.7987177167,-12.5713721285,-20.0610180565
11,-22.6982855323,-11.3724464537,-15.0770266675,-19.5986176018,-16.9006401726,-15.3051700049,-11.7138768655,-13.4395146253,-28.8492536592,-46.5730665097,-42.5562076826,-40.449020335,-30.7440494295,-28.5631922832,-22.4681675574,-23.3417311963,-18.1251874632,-14.3265972042,-14.175310576,-16.3434706227
