,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,253.735944812,254.428146091,253.425753271,249.015654388,246.072021117,249.448576523,253.48206786,244.012787682,231.242359669,228.153264542,223.219222253,226.909537553,245.639859399,254.459039454,253.606569464,250.287162118,252.485297158,249.901810869,252.099061907,253.293225798
1,254.122437717,254.358621483,253.144231256,243.963948093,247.435859803,234.719398895,250.900410903,246.271808918,229.217473525,221.846339181,221.408951151,218.806604652,238.908189834,255.788111485,251.905506352,253.089238884,252.597739089,251.726237844,247.884172368,247.414045922
2,255.255672617,258.124461884,250.444294791,248.052279327,254.312805133,229.852577931,251.915041345,234.465384397,232.719451327,224.75585516,228.10592486,230.503315993,236.360530664,253.906658021,250.836395734,253.066124589,253.755121273,250.444595074,246.762311849,250.257429101
3,254.658052966,256.011607645,252.153889937,248.799122376,253.709971051,229.925975645,250.440224303,213.617277763,242.686275909,236.256554412,242.644885051,243.98880644,235.978021403,250.592549425,249.358078527,251.593280375,251.55948065,252.488131595,243.563351364,253.302452777
4,254.740099735,251.33873575,250.886683299,250.354245452,251.739593473,229.845335337,251.929323275,185.879244852,250.972955754,248.204655333,249.229886305,244.92618879,242.796059278,249.77938769,246.459023332,254.759041333,253.086416051,254.793118924,243.558360166,247.760418971
5,252.776423391,252.226528633,250.604794969,253.39085257,250.088970973,225.023681812,252.18211876,178.817291588,237.151355819,248.805850628,224.992915682,236.904025046,251.131808906,252.585926445,241.910573849,254.335937892,249.970662332,251.773431742,236.516427191,238.008770538
6,251.464821657,254.683101892,254.454642956,245.39543266,249.160631668,240.018540334,252.340275997,241.798862843,229.26556919,214.135338859,212.935950096,219.487494635,239.088937925,253.782411226,253.412403977,252.116060502,253.844117546,251.328320815,247.887683658,249.236278647
7,256.393722099,252.206673892,255.009387885,242.115089271,250.038037181,231.360329873,250.633537526,242.530907568,229.369447786,215.526312939,216.079762155,220.435160999,233.201157767,255.199978497,251.238994849,250.339615191,253.743989306,250.287464602,245.600888732,252.716347448
8,254.397210544,251.487226109,254.001491926,244.649878762,252.839056985,230.991189555,251.072504515,233.906305323,234.204368315,221.246249793,226.487614078,227.292639482,232.499351056,251.886773101,252.42129707,248.512033857,252.475977995,252.284109436,244.135758478,251.827415696
9,256.707766324,252.9388989,251.779783191,247.656055621,255.657081387,229.708508441,251.661450101,205.770391584,245.619161708,237.922450697,239.701521625,241.277812872,229.486857947,243.975970733,248.294522716,252.866109166,252.795459077,254.112172425,247.45910355,255.630972145
10,255.719665992,254.106081757,249.229539301,252.169829501,255.747855352,227.844699358,250.344548793,181.526957996,249.396278756,249.757479937,243.158501996,246.796798715,244.359923881,245.83522878,250.021670683,251.297750967,250.845805826,252.3418193,239.800694498,239.881146592
11,250.636059311,249.666790884,254.42852985,252.407772507,248.494373898,239.279206343,254.02093967,244.84854636,224.848650569,211.372331442,206.75756746,215.175886492,232.741687813,252.750449799,255.414153161,256.202307499,254.044166118,253.578719,247.448907493,249.20686785
12,254.491238032,253.466108645,255.045741093,247.554203065,249.444005066,236.482161642,250.058537525,240.116159277,227.903236807,212.590529796,214.125799704,220.804299145,232.971213065,251.139618111,254.173861591,252.654798008,252.267765038,251.877737303,247.621207422,250.463042046
13,254.379718242,255.440045738,253.816296867,245.958238177,250.706978352,232.775595016,252.07941075,241.100145573,227.144703047,212.058351085,211.941692817,216.438627525,232.76110073,249.241156865,256.90229362,247.212158324,252.641251268,253.78726534,243.890243038,251.243136018
14,255.570953759,254.916251608,252.379656584,248.162824928,252.270828973,226.75699376,252.672247902,228.608909623,235.76254935,224.063282177,221.882751653,228.994655693,229.310020352,244.004356139,251.159854974,250.868780216,251.713961633,251.565764247,246.945377337,253.197568974
15,252.896225101,255.794670965,249.592868888,250.479495469,256.434013808,227.169886098,250.698269957,204.448091289,247.588690825,236.335982573,239.119446483,240.46254912,236.78851795,242.535648867,246.769941101,253.540260952,254.747807499,254.932158748,249.497316531,252.937399039
16,252.159595538,252.192210374,258.846274268,251.63142287,251.032424703,238.172728991,254.772630022,244.842101264,223.277522782,211.508267627,202.189945695,209.659489701,235.077218745,252.195382295,254.462166083,248.30907938,255.96156516,252.988015849,252.82966542,252.119868764
17,250.689108722,253.398011445,251.925793961,246.345764411,251.752600847,233.101603593,250.371904685,242.253389075,227.504301844,210.574444585,210.571286631,219.597596822,232.376103945,248.694636249,252.554565571,252.671301797,250.376020851,251.621440492,247.63399378,249.982341341
18,254.983914322,256.917651976,251.21233711,250.073780345,254.617308674,234.067789091,251.489637803,229.460204543,237.465956945,219.535748054,220.306035976,226.022456961,227.191868587,245.738290077,249.270157589,254.317365264,252.88080095,252.123420272,247.858880313,255.109733509
19,251.316951333,256.942297655,252.97760187,250.643326032,249.219747526,240.887065808,253.763687681,247.293578955,224.005014751,207.302846001,197.757020742,204.479868077,233.939128522,251.545309136,254.899199447,252.879378862,253.806497942,252.370021733,247.756039772,251.92402517
20,251.439682118,255.812709148,255.120313837,251.998059218,252.227743265,242.321204809,255.383063864,247.944106737,236.309510815,211.928888153,217.465465889,217.218336223,223.750711829,245.193569899,251.878830092,256.038779633,255.972118915,255.260504329,254.805104288,249.872245819
21,248.043746861,254.302372613,248.381135764,248.776637487,253.961984501,236.51122728,249.226677788,220.247844041,247.741445219,231.954123399,240.325262149,243.251547701,237.334146297,243.774524196,243.778476036,252.462310373,253.584026787,255.265111894,251.129053822,255.001608644
22,252.021675602,255.459107993,248.403556788,250.253311335,252.273648321,230.5814736,246.202778898,195.878028626,247.167945727,245.338219488,243.500531709,249.949688846,243.477100139,248.032941362,242.27504454,249.805067618,252.64628569,251.050839302,244.710086993,248.495186233
23,252.633627568,253.994041047,250.521441904,250.953367836,250.819908534,231.843056163,250.591144688,185.923571263,235.657777932,246.514572136,222.665305129,231.031537426,247.67692568,246.754712503,240.578428867,253.812695303,252.126199501,250.619536558,241.678343939,239.070732199
