,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,266.929914145,269.695460645,270.515754024,259.676563476,264.40390351,249.302991167,216.710935861,262.865643359,230.715062127,233.696442165,226.993188105,238.11198661,244.999774876,251.90042298,259.610605114,261.154003216,262.846810559,266.835985193,261.572904644,264.819234104
1,268.962614812,266.193683893,270.538023534,261.908424153,260.309285711,237.046979038,219.254020011,264.35710125,237.049616951,208.73327696,231.534215357,242.858065708,239.74209605,241.533463814,259.960315259,267.838260128,269.013054991,263.965581662,266.938430729,264.463651088
2,267.501216093,266.868373548,267.530834038,263.206380303,251.916052082,235.327678815,246.676331024,261.762064492,249.411559677,196.332356145,235.242714035,244.615239868,232.163179266,223.860623789,248.182957312,257.846546795,256.851562442,250.966563085,256.324379974,253.694361955
3,270.861305662,267.653751706,267.882131331,259.431896635,254.780376938,243.70851427,270.221535774,260.962554984,265.808928714,222.915951799,243.653666417,253.095930208,234.284758795,222.810021608,245.361840531,240.627267354,241.423751026,232.889237112,254.811922516,245.836896245
4,266.681053647,267.003013775,268.894920855,261.558506157,258.215315607,254.492453969,267.851800619,256.572339448,261.508957435,245.875721844,245.908800889,257.022793298,241.666088321,233.131477779,252.146487922,229.938755337,237.666340937,226.090246696,249.887676082,230.166396501
5,269.175867841,265.290288594,270.184245753,261.053341526,266.582940104,263.517216352,248.489205581,237.788772813,233.704875919,252.814331154,246.506371226,257.319529083,260.106790045,259.272413473,263.657482848,232.362146166,252.539973085,228.798057357,248.522587153,238.138097505
6,268.508561434,264.367612622,269.151453214,263.768602444,253.805803333,242.128334273,216.554839559,259.994447807,213.227662806,196.8298053,209.810877565,219.529586848,228.900206713,237.613451061,258.477156593,265.181644003,270.051246751,267.260899048,264.916953332,268.991308379
7,265.058641196,267.855441264,271.084128708,259.486843576,248.600119614,233.334702821,227.212067682,263.945753623,233.982703246,195.701629023,223.894191857,236.465557569,228.245816744,227.850554416,254.38207135,262.947672476,259.693254795,253.32164214,262.943775023,259.946120097
8,268.236769582,267.458032218,269.929455771,265.35531041,256.179792161,243.715289839,252.226586696,261.31679097,255.930980293,217.246303085,231.256360895,239.730204658,223.326775041,219.73687648,253.460318306,248.553982298,245.084375507,244.497251682,259.13990298,250.853757359
9,263.343227285,268.766317371,268.348547063,257.061243789,253.8266009,244.990093203,266.160718337,258.120684397,264.924510621,231.019359788,242.329124453,252.772329741,232.819456909,220.72900762,248.890813184,230.95385587,228.829574061,216.978238536,244.220348809,229.282429632
10,264.462667617,267.619758002,269.729530146,261.387052979,260.538002824,251.933787925,266.86312544,250.14776518,255.712508455,235.398264598,245.672600169,258.57694629,244.455615541,241.040442413,260.511043291,225.480222369,231.599879376,214.888882253,238.226569092,225.171713636
11,269.187200528,267.591132988,269.027645295,261.342535378,251.397021004,239.881125116,208.585631276,260.90391915,216.723066807,195.014406367,203.925781242,221.640827499,222.414021597,235.408018205,257.849658726,261.201621842,258.612670427,260.752544622,266.353435652,262.401791237
12,263.86626068,268.212721163,268.446522908,258.805646719,247.868951673,235.650879303,227.776627963,263.89904813,233.933295131,202.513834135,221.158466057,231.59049187,219.26060527,224.556769602,253.173822865,252.414540332,247.520623425,240.440101563,255.735017377,251.867519125
13,269.658237684,266.458271393,271.336045802,260.646081843,253.225932065,234.280796485,224.784420722,263.786274342,231.660910459,203.451441735,220.93628077,236.865682613,223.743092038,233.124334732,259.307723154,255.960811826,244.190498322,236.798384329,252.16938826,248.657251208
14,264.30159816,267.834641476,268.322092842,256.209034178,253.433853194,236.012483502,243.437549943,262.403732861,256.223505782,216.194500226,238.222753056,249.230145802,226.166260348,223.519456281,254.584704604,245.145574853,230.31591536,219.107828094,246.520049788,236.08618277
15,261.418368396,266.55816973,267.872495275,257.631454071,255.942737854,238.581879444,261.016722849,256.933981604,269.172470394,233.241245297,250.228628731,260.68703013,239.500095423,234.091807673,260.271572579,231.431317172,231.740649573,217.092074141,240.853632563,233.742136303
16,260.252192705,261.399101946,266.183759242,255.738768584,253.546091617,240.954316581,214.273070854,264.531619961,217.762765271,202.700009225,219.476942597,234.588757744,230.676496703,242.04026111,262.862286062,263.598456122,251.934359454,255.285940728,258.702289181,261.709693395
17,263.786749258,265.533959479,267.616709468,257.811105634,254.855660108,237.70864192,219.829014344,261.304071468,242.412775001,219.443739296,242.472184515,249.014202761,246.337665832,243.786227437,261.27615547,253.831658665,249.234746529,247.60543022,260.479581698,254.289821011
18,258.419095813,262.363298566,264.44062643,253.483505892,252.940077921,231.437436849,240.739639979,263.105048854,256.906986462,232.710495751,252.552448253,260.447497508,244.536912925,245.837707347,263.519923433,252.107555795,243.459004422,230.407630951,250.06166133,245.921371963
19,264.448688564,262.272728951,269.108368078,265.847287266,260.44308195,254.389927401,221.225477608,263.838445293,261.649032623,260.652195501,259.659105935,264.503605213,264.005961136,267.47612254,266.684379175,268.618170662,267.33038164,269.208444314,268.947524512,267.452451094
20,261.850279732,264.821655013,267.134755755,259.780280565,252.438547154,239.136298669,238.089186879,263.1285559,257.517503246,242.403927913,257.837316616,260.803849271,258.057729257,259.165985526,263.016940794,261.517694654,253.096978211,253.633929123,257.721020392,257.98782264
21,254.965164208,262.982069784,264.36452143,254.486436664,249.524648587,235.254778651,255.014726124,259.617090982,260.05172189,238.293480577,256.386774213,264.086874135,258.065709581,256.414829757,262.823955506,257.945648358,247.294073878,235.882868215,246.65209457,250.89962039
22,260.141333127,266.889276095,260.706951858,261.843295178,260.583128871,261.931048453,266.033229926,258.179754581,262.111767677,230.709742438,247.300648535,265.462928942,258.440429992,258.268963703,262.463738835,232.81556215,232.356784516,223.911332598,234.070901355,239.181966297
23,260.787613125,265.122890472,268.062211566,261.489197593,266.576269566,265.757298484,243.582026819,239.682020743,241.545884471,236.014787084,247.157721234,261.571821763,258.579453121,260.575387039,266.247304298,230.266993251,236.370057977,216.640415906,234.526102618,225.65638538
24,269.153051015,258.250915266,267.270658057,259.992438345,266.211696899,271.612855379,210.417414226,230.094840717,217.679121049,246.394446674,245.621969691,264.479623549,270.025840382,267.233938032,268.555428671,240.012539882,251.167964885,232.772593735,249.212126725,235.361388963
25,259.923185386,262.230555589,263.517167399,266.713293401,263.593024157,264.450007566,235.001309785,265.409105814,256.395915137,261.954881826,253.66001956,260.744500025,263.963604997,265.82028598,262.039281701,266.696874486,267.001725491,269.525386562,269.979711319,268.809343999
26,260.420476726,265.138119218,267.896309659,263.951429437,251.267448021,262.741830969,253.816871775,265.806565268,258.41050551,259.099014286,260.598347043,261.755368034,260.843067831,259.177755386,262.571239542,268.113838797,261.949561525,266.381250404,264.068833828,265.115842765
27,260.919199241,267.949467061,260.554905758,264.046588047,257.95934862,263.887653834,264.40407326,267.737967165,267.180801917,260.780317342,265.669684935,262.438304505,261.646232049,264.659648601,262.910429824,261.974601275,258.022218591,252.021494113,236.416426426,250.457468111
28,261.161880666,265.845942852,261.685002283,265.921676513,260.76950705,267.499960664,231.301508047,256.2785978,254.810470418,234.059892508,254.686601219,265.734336637,262.344537469,265.479080075,264.600400512,246.167246521,240.866734481,233.648805624,240.251322696,241.25132361
29,266.306879757,255.418288812,267.292574498,258.960225941,269.393123327,260.72442133,213.690574104,240.243807611,226.732918637,249.259508326,256.327471834,266.643979909,269.163648497,265.825176442,263.413624028,253.377418035,253.911691241,248.345646634,254.756928336,248.552156642
30,261.920910728,262.837700216,266.825008275,267.071019073,265.662352989,265.320342022,253.295504681,258.39430698,258.6190603,260.535040244,259.61256765,257.806584243,267.012485163,258.698383799,265.233914988,265.182420074,270.354780257,267.171016335,266.557590227,266.13246162
31,261.567244746,266.241293613,265.589616732,262.141281545,263.829663465,265.975247738,267.969820524,266.015167836,268.095650873,265.348620655,262.920483648,261.215028861,257.905759566,259.82557297,263.75493601,267.708823928,266.683692175,263.692833084,262.286473107,267.500887193
