subject,Right#,Left#
02,145.0,113.0
04,193.0,261.0
05,276.0,231.0
06,180.0,175.0
07,203.0,207.0
09,48.0,89.0
10,144.0,134.0
20,147.0,138.0
21,176.0,138.0
22,166.0,249.0
23,226.0,221.0
24,141.0,64.0
25,81.0,98.0
26,107.0,86.0
27,129.0,116.0
28,149.0,109.0
30,103.0,72.0
31,52.0,31.0
32,,
33,126.0,94.0
34,,
35,68.0,45.0
36,226.0,66.0
37,75.0,48.0
38,54.0,44.0
39,207.0,137.0
41,140.0,50.0
42,248.0,234.0
43,126.0,138.0
44,56.0,60.0
45,193.0,117.0
46,48.0,43.0
