Subj_id,Condition,hit_rate,fa_rate,d_prime,criterion,beta
s_04,Drowsy,0.963636363636364,0.272030651340996,2.40122142088794,-0.593927705185399,0.240231574247972
s_05,Alert,0.951612903225806,0.112903225806452,2.87192974147539,-0.224732739816349,0.524443992571209
s_05,Drowsy,0.760869565217391,0.0474683544303797,2.37901484153005,0.480404917356002,3.13581913906794
s_06,Alert,0.838709677419355,0.145161290322581,2.04658285582702,0.0341228005728728,1.07233138067666
s_06,Drowsy,0.797570850202429,0.136986301369863,1.92693575415465,0.130491938517561,1.28588806647155
s_07,Alert,0.919354838709677,0.161290322580645,2.38991368847121,-0.205788216894971,0.611514827447458
s_07,Drowsy,0.881057268722467,0.122727272727273,2.34174939547907,-0.00941387234753677,0.978196283823223
s_09,Alert,0.935483870967742,0.0806451612903226,2.91867422072486,-0.0585920492318508,0.842812215142608
s_09,Drowsy,0.839285714285714,0.509090909090909,0.968736972396939,-0.507157988478861,0.611828848872947
s_10,Alert,0.991935483870968,0.161290322580645,3.39515124197138,-0.708406993645054,0.090252057495475
s_10,Drowsy,0.906666666666667,0.0736196319018405,2.76985655554753,0.064423873906486,1.19535700470449
s_20,Alert,0.887096774193548,0.0806451612903226,2.61197719205192,0.0947564651046158,1.28082157263505
s_20,Drowsy,0.785234899328859,0.0536912751677852,2.40006594917641,0.410037140649013,2.67544622406099
s_21,Alert,0.774193548387097,0.0645161290322581,2.27065795385245,0.382600182668055,2.38393896732382
s_21,Drowsy,0.702586206896552,0.184873949579832,1.42879901310388,0.182546181127896,1.2979963463422
s_22,Alert,0.967741935483871,0.225806451612903,2.60132508275958,-0.54793374712162,0.240423386346308
s_22,Drowsy,0.985714285714286,0.379061371841155,2.49729664762158,-0.940701431711297,0.0954444828616677
s_23,Alert,0.852459016393443,0.112903225806452,2.25827031575069,0.0820969730459978,1.20369640195253
s_23,Drowsy,0.847826086956522,0.23489932885906,1.74996096111574,-0.15217379235713,0.766210612545483
s_24,Alert,0.741935483870968,0.0483870967741935,2.31002152374051,0.505686848683788,3.21602943751846
s_24,Drowsy,0.293478260869565,0.0487804878048781,1.11354307611455,1.10002322775871,3.4039048191074
s_25,Alert,0.838709677419355,0.0967741935483871,2.28932206070406,0.155492403011394,1.42756784488845
s_25,Drowsy,0.864864864864865,0.181818181818182,2.01089823555255,-0.0969912492388898,0.822802130433391
s_26,Alert,0.901639344262295,0.129032258064516,2.42192675592743,-0.079985769718558,0.823888827897631
s_26,Drowsy,0.684210526315789,0.1,1.76105721887555,0.401022956106825,2.02632614328374
s_27,Alert,0.758064516129032,0.0483870967741935,2.36078782316161,0.480303698973237,3.10773798007232
s_27,Drowsy,0.762237762237762,0.152317880794702,1.74006218041251,0.156511791605789,1.31303368418813
s_28,Alert,0.741935483870968,0.0483870967741935,2.31002152374051,0.505686848683788,3.21602943751846
s_28,Drowsy,0.676646706586826,0.04375,2.16707749068954,0.625196512478134,3.87617673187869
s_30,Alert,0.790322580645161,0.0161290322580645,2.9487391630921,0.666828539425971,7.14421850757285
s_30,Drowsy,0.797872340425532,0.0545454545454545,2.43633820039488,0.384123555018438,2.54939197806094
s_31,Alert,0.919354838709677,0.193548387096774,2.26563941981586,-0.267925351222647,0.544971250384687
s_31,Drowsy,0.575,0.341176470588235,0.598372873616824,0.11006801053562,1.06807900418439
s_32,Alert,0.951612903225806,0.161290322580645,2.64986623789468,-0.335764491606703,0.410766238037499
s_32,Drowsy,0.8,0.428571428571429,1.02163360336562,-0.330804431890105,0.713223157432175
s_33,Alert,0.692307692307692,0.11864406779661,1.68419449372247,0.339695023487881,1.77200644286253
s_33,Drowsy,0.63030303030303,0.221556886227545,1.09960178349477,0.217144855815941,1.26969012004351
s_34,Alert,0.903225806451613,0.0967741935483871,2.60030686672685,-0,1
s_34,Drowsy,0.307692307692308,0.0714285714285714,0.962831569312167,0.983818008029439,2.57861139896877
s_35,Alert,0.854838709677419,0.225806451612903,1.81014302274455,-0.152342717114106,0.758993468936674
s_35,Drowsy,0.494505494505495,0.216867469879518,0.76904327453276,0.398294755538937,1.35839778099285
s_36,Alert,0.661290322580645,0.258064516129032,1.06531113337614,0.116668346498395,1.13234203866279
s_36,Drowsy,0.333333333333333,0.0530973451327434,1.18480861085488,1.0231316047229,3.36092130838462
s_37,Alert,0.709677419354839,0.00806451612903226,2.95842519927752,0.926770014991984,15.5145728529004
s_37,Drowsy,0.488636363636364,0.0843373493975904,1.34798648691005,0.702481508621333,2.57779808968902
s_38,Alert,0.790322580645161,0.0967741935483871,2.1076944754835,0.246306195621673,1.68057871580161
s_38,Drowsy,0.716666666666667,0.225352112676056,1.32720904361575,0.0906369733124134,1.12782862198201
s_39,Alert,0.725806451612903,0.0491803278688525,2.25303240850685,0.526337428263581,3.27348538316439
s_39,Drowsy,0.677725118483412,0.0203252032520325,2.50842507557019,0.792865667719032,7.30708278626567
s_41,Alert,0.516129032258065,0.0645161290322581,1.55836966815993,0.738744325514316,3.16210121919887
s_41,Drowsy,0.268817204301075,0.06,0.938379437331967,1.08558387593087,2.76956311258817
s_42,Alert,0.887096774193548,0.17741935483871,2.1364766907755,-0.142993785533597,0.736752775818459
s_42,Drowsy,0.771704180064309,0.150326797385621,1.77950369716826,0.145280948731369,1.29502239105966
s_43,Alert,0.870967741935484,0.241935483870968,1.83106782085272,-0.215443697818796,0.674022340631571
s_43,Drowsy,0.698198198198198,0.305,1.02929880646028,-0.00457594626154545,0.995301058705835
s_44,Alert,0.967741935483871,0.0806451612903226,3.24934134963199,-0.223925613685416,0.483061764936578
s_44,Drowsy,0.853333333333333,0.106060606060606,2.29859112923455,0.0984582907340484,1.25397104731781
s_45,Alert,0.472727272727273,0.0526315789473684,1.55144033393792,0.844136091669308,3.70479075195671
s_45,Drowsy,0.541284403669725,0.105504587155963,1.35446534161692,0.573562617618899,2.17465642557919
s_46,Alert,0.82258064516129,0.0483870967741935,2.58594217040819,0.367726525349945,2.58808838802779
s_46,Drowsy,0.723404255319149,0.0731707317073171,2.04556073479364,0.429795813415186,2.40890777625511
