Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_34",56,"L25flip","R",2,12,"R12",0,0.719475474,1,"Alert",1
"s_34",43,"L12flip","R",2,60,"R60",1,0.370859626,8,"Alert",2
"s_34",7,"L14","L",1,35,"L35",1,0.300460843,1,"Alert",3
"s_34",2,"L9","L",1,60,"L60",1,0.332679566,1,"Alert",4
"s_34",74,"R24flip","L",1,12,"L12",1,0.419501582,1,"Alert",5
"s_34",37,"R25","R",2,12,"R12",1,0.605725944,8,"Alert",6
"s_34",36,"R24","R",2,12,"R12",1,0.409384282,8,"Alert",7
"s_34",71,"R21flip","L",1,12,"L12",1,0.371521247,1,"Alert",8
"s_34",54,"L23flip","R",2,12,"R12",1,0.327016456,8,"Alert",9
"s_34",50,"L19flip","R",2,35,"R35",1,0.385114904,8,"Alert",10
"s_34",59,"R9flip","L",1,60,"L60",1,0.43345231,1,"Alert",11
"s_34",3,"L10","L",1,60,"L60",1,0.472670551,1,"Alert",12
"s_34",55,"L24flip","R",2,12,"R12",1,0.463402653,8,"Alert",13
"s_34",15,"L22","L",1,12,"L12",1,0.341558385,1,"Alert",14
"s_34",72,"R22flip","L",1,12,"L12",0,0.53724527,8,"Alert",15
"s_34",40,"L9flip","R",2,60,"R60",1,0.305461873,8,"Alert",16
"s_34",66,"R16flip","L",1,35,"L35",1,0.232133288,1,"Alert",17
"s_34",24,"R12","R",2,60,"R60",1,0.276331642,8,"Alert",18
"s_34",68,"R18flip","L",1,35,"L35",1,0.224555203,1,"Alert",19
"s_34",65,"R15flip","L",1,35,"L35",1,0.38462366,1,"Alert",20
"s_34",25,"R13","R",2,60,"R60",1,0.322615045,8,"Alert",21
"s_34",52,"L21flip","R",2,12,"R12",0,0.430165145,1,"Alert",22
"s_34",45,"L14flip","R",2,35,"R35",1,0.357566369,8,"Alert",23
"s_34",14,"L21","L",1,12,"L12",1,0.31339673,1,"Alert",24
"s_34",47,"L16flip","R",2,35,"R35",1,0.281005754,8,"Alert",25
"s_34",64,"R14flip","L",1,35,"L35",1,0.289167993,1,"Alert",26
"s_34",72,"R22flip","L",1,12,"L12",1,0.279140353,1,"Alert",27
"s_34",10,"L17","L",1,35,"L35",1,0.323838437,1,"Alert",28
"s_34",29,"R17","R",2,35,"R35",0,0.365692487,1,"Alert",29
"s_34",17,"L24","L",1,12,"L12",1,0.406898925,1,"Alert",30
"s_34",51,"L20flip","R",2,12,"R12",1,0.339291921,8,"Alert",31
"s_34",71,"R21flip","L",1,12,"L12",1,0.398932418,1,"Alert",32
"s_34",73,"R23flip","L",1,12,"L12",1,0.327417336,1,"Alert",33
"s_34",28,"R16","R",2,35,"R35",1,0.351869218,8,"Alert",34
"s_34",30,"R18","R",2,35,"R35",1,0.709248635,8,"Alert",35
"s_34",27,"R15","R",2,35,"R35",1,0.367584877,8,"Alert",36
"s_34",18,"L25","L",1,12,"L12",1,0.528492662,1,"Alert",37
"s_34",26,"R14","R",2,35,"R35",1,0.345753107,8,"Alert",38
"s_34",61,"R11flip","L",1,60,"L60",1,0.286544492,1,"Alert",39
"s_34",48,"L17flip","R",2,35,"R35",1,0.299515144,8,"Alert",40
"s_34",65,"R15flip","L",1,35,"L35",1,0.308667007,1,"Alert",41
"s_34",13,"L20","L",1,12,"L12",1,0.329730075,1,"Alert",42
"s_34",1,"L8","L",1,60,"L60",1,0.389707517,1,"Alert",43
"s_34",34,"R22","R",2,12,"R12",1,0.334400204,8,"Alert",44
"s_34",46,"L15flip","R",2,35,"R35",1,0.357980825,8,"Alert",45
"s_34",6,"L13","L",1,60,"L60",1,0.271121506,1,"Alert",46
"s_34",44,"L13flip","R",2,60,"R60",1,0.29989766,8,"Alert",47
"s_34",16,"L23","L",1,12,"L12",1,0.259433566,1,"Alert",48
"s_34",29,"R17","R",2,35,"R35",1,0.362516762,8,"Alert",49
"s_34",69,"R19flip","L",1,35,"L35",0,0.486087673,8,"Alert",50
"s_34",31,"R19","R",2,35,"R35",1,0.241423447,8,"Alert",51
"s_34",35,"R23","R",2,12,"R12",1,0.590073769,8,"Alert",52
"s_34",8,"L15","L",1,35,"L35",1,0.288432991,1,"Alert",53
"s_34",60,"R10flip","L",1,60,"L60",1,0.374224602,1,"Alert",54
"s_34",70,"R20flip","L",1,12,"L12",1,0.476781856,1,"Alert",55
"s_34",73,"R23flip","L",1,12,"L12",1,0.565397724,1,"Alert",56
"s_34",63,"R13flip","L",1,60,"L60",1,0.454669734,1,"Alert",57
"s_34",8,"L15","L",1,35,"L35",1,0.462268207,1,"Alert",58
"s_34",54,"L23flip","R",2,12,"R12",1,0.417751756,8,"Alert",59
"s_34",11,"L18","L",1,35,"L35",1,0.489093232,1,"Alert",60
"s_34",50,"L19flip","R",2,35,"R35",1,0.360181493,8,"Alert",61
"s_34",42,"L11flip","R",2,60,"R60",1,0.448978507,8,"Alert",62
"s_34",31,"R19","R",2,35,"R35",1,0.488058761,8,"Alert",63
"s_34",76,"R0flip","L",0,0,"L0",1,0.412712834,1,"Alert",64
"s_34",10,"L17","L",1,35,"L35",1,0.458072611,1,"Alert",65
"s_34",75,"R25flip","L",1,12,"L12",0,0.461167117,8,"Alert",66
"s_34",15,"L22","L",1,12,"L12",1,0.377426983,1,"Alert",67
"s_34",19,"L0","L",0,0,"L0",0,0.488297804,8,"Alert",68
"s_34",70,"R20flip","L",1,12,"L12",1,0.350225334,1,"Alert",69
"s_34",46,"L15flip","R",2,35,"R35",1,0.296030522,8,"Alert",70
"s_34",37,"R25","R",2,12,"R12",0,0.34223175,1,"Alert",71
"s_34",53,"L22flip","R",2,12,"R12",1,0.490142904,8,"Alert",72
"s_34",23,"R11","R",2,60,"R60",1,0.406662523,8,"Alert",73
"s_34",33,"R21","R",2,12,"R12",0,0.311384887,1,"Alert",74
"s_34",67,"R17flip","L",1,35,"L35",1,0.338512741,1,"Alert",75
"s_34",36,"R24","R",2,12,"R12",1,0.568134764,8,"Alert",76
"s_34",41,"L10flip","R",2,60,"R60",1,0.372396883,8,"Alert",77
"s_34",67,"R17flip","L",1,35,"L35",1,0.278073815,1,"Alert",78
"s_34",32,"R20","R",2,12,"R12",1,0.344933727,8,"Alert",79
"s_34",17,"L24","L",1,12,"L12",1,1.647302633,1,"Alert",80
"s_34",47,"L16flip","R",2,35,"R35",1,0.399631564,8,"Alert",81
"s_34",30,"R18","R",2,35,"R35",1,0.559927128,8,"Alert",82
"s_34",69,"R19flip","L",1,35,"L35",1,0.550160646,1,"Alert",83
"s_34",11,"L18","L",1,35,"L35",1,0.677086963,1,"Alert",84
"s_34",48,"L17flip","R",2,35,"R35",1,0.397275363,8,"Alert",85
"s_34",14,"L21","L",1,12,"L12",1,0.406684123,1,"Alert",86
"s_34",13,"L20","L",1,12,"L12",0,0.887846009,8,"Alert",87
"s_34",49,"L18flip","R",2,35,"R35",1,0.516341796,8,"Alert",88
"s_34",5,"L12","L",1,60,"L60",1,0.408114278,1,"Alert",89
"s_34",20,"R8","R",2,60,"R60",1,0.382139121,8,"Alert",90
"s_34",12,"L19","L",1,35,"L35",1,0.398696355,1,"Alert",91
"s_34",49,"L18flip","R",2,35,"R35",1,0.348322321,8,"Alert",92
"s_34",18,"L25","L",1,12,"L12",1,0.423030853,1,"Alert",93
"s_34",35,"R23","R",2,12,"R12",1,0.643303955,8,"Alert",94
"s_34",12,"L19","L",1,35,"L35",1,0.37718529,1,"Alert",95
"s_34",34,"R22","R",2,12,"R12",1,0.46186419,8,"Alert",96
"s_34",9,"L16","L",1,35,"L35",1,0.357484871,1,"Alert",97
"s_34",56,"L25flip","R",2,12,"R12",1,1.221858851,8,"Alert",98
"s_34",38,"R0","R",0,0,"R0",1,1.124764233,8,"Alert",99
"s_34",45,"L14flip","R",2,35,"R35",1,0.513542776,8,"Alert",100
"s_34",9,"L16","L",1,35,"L35",1,0.481559764,1,"Alert",101
"s_34",62,"R12flip","L",1,60,"L60",1,0.444580405,1,"Alert",102
"s_34",27,"R15","R",2,35,"R35",1,0.315831975,8,"Alert",103
"s_34",57,"L0flip","R",0,0,"R0",0,0.39352377,1,"Alert",104
"s_34",4,"L11","L",1,60,"L60",0,0.629605719,8,"Alert",105
"s_34",52,"L21flip","R",2,12,"R12",1,0.696390998,8,"Alert",106
"s_34",32,"R20","R",2,12,"R12",1,0.621927893,8,"Alert",107
"s_34",26,"R14","R",2,35,"R35",1,0.384638307,8,"Alert",108
"s_34",68,"R18flip","L",1,35,"L35",1,0.45998374,1,"Alert",109
"s_34",58,"R8flip","L",1,60,"L60",1,1.082241061,1,"Alert",110
"s_34",66,"R16flip","L",1,35,"L35",1,0.733506948,1,"Alert",111
"s_34",21,"R9","R",2,60,"R60",1,0.332392387,8,"Alert",112
"s_34",74,"R24flip","L",1,12,"L12",1,0.532045763,1,"Alert",113
"s_34",64,"R14flip","L",1,35,"L35",1,0.372093799,1,"Alert",114
"s_34",51,"L20flip","R",2,12,"R12",1,0.308318394,8,"Alert",115
"s_34",33,"R21","R",2,12,"R12",1,0.670709567,8,"Alert",116
"s_34",28,"R16","R",2,35,"R35",1,0.49263071,8,"Alert",117
"s_34",39,"L8flip","R",2,60,"R60",1,0.383233755,8,"Alert",118
"s_34",75,"R25flip","L",1,12,"L12",1,0.524182638,1,"Alert",119
"s_34",7,"L14","L",1,35,"L35",1,0.427900316,1,"Alert",120
"s_34",22,"R10","R",2,60,"R60",1,0.31101279,8,"Alert",121
"s_34",16,"L23","L",1,12,"L12",1,0.439352986,1,"Alert",122
"s_34",55,"L24flip","R",2,12,"R12",1,0.975366081,8,"Alert",123
