Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_25",36,"R24","R",2,12,"R12",1,0.829984615,8,"Alert",1
"s_25",23,"R11","R",2,60,"R60",1,0.500133285,8,"Alert",2
"s_25",69,"R19flip","L",1,35,"L35",1,0.243089803,1,"Alert",3
"s_25",69,"R19flip","L",1,35,"L35",1,0.268931961,1,"Alert",4
"s_25",54,"L23flip","R",2,12,"R12",1,0.532038693,8,"Alert",5
"s_25",17,"L24","L",1,12,"L12",0,0.361180934,8,"Alert",6
"s_25",67,"R17flip","L",1,35,"L35",1,0.468264636,1,"Alert",7
"s_25",17,"L24","L",1,12,"L12",0,0.639126004,8,"Alert",8
"s_25",51,"L20flip","R",2,12,"R12",1,0.637187606,8,"Alert",9
"s_25",34,"R22","R",2,12,"R12",1,0.2756778,8,"Alert",10
"s_25",31,"R19","R",2,35,"R35",1,0.452674354,8,"Alert",11
"s_25",39,"L8flip","R",2,60,"R60",1,0.681749225,8,"Alert",12
"s_25",64,"R14flip","L",1,35,"L35",1,0.382881451,1,"Alert",13
"s_25",35,"R23","R",2,12,"R12",1,0.458054998,8,"Alert",14
"s_25",60,"R10flip","L",1,60,"L60",1,0.377448525,1,"Alert",15
"s_25",52,"L21flip","R",2,12,"R12",1,0.38889367,8,"Alert",16
"s_25",20,"R8","R",2,60,"R60",1,0.388694052,8,"Alert",17
"s_25",65,"R15flip","L",1,35,"L35",1,0.297324827,1,"Alert",18
"s_25",46,"L15flip","R",2,35,"R35",1,0.271783162,8,"Alert",19
"s_25",4,"L11","L",1,60,"L60",1,0.224611694,1,"Alert",20
"s_25",48,"L17flip","R",2,35,"R35",1,0.217397036,8,"Alert",21
"s_25",46,"L15flip","R",2,35,"R35",1,0.384472087,8,"Alert",22
"s_25",5,"L12","L",1,60,"L60",1,0.320783924,1,"Alert",23
"s_25",32,"R20","R",2,12,"R12",1,0.318618636,8,"Alert",24
"s_25",25,"R13","R",2,60,"R60",1,0.306903453,8,"Alert",25
"s_25",27,"R15","R",2,35,"R35",1,0.281583783,8,"Alert",26
"s_25",70,"R20flip","L",1,12,"L12",1,0.269187478,1,"Alert",27
"s_25",45,"L14flip","R",2,35,"R35",1,0.301258735,8,"Alert",28
"s_25",75,"R25flip","L",1,12,"L12",0,0.270214756,8,"Alert",29
"s_25",53,"L22flip","R",2,12,"R12",1,0.259448337,8,"Alert",30
"s_25",74,"R24flip","L",1,12,"L12",0,0.471906128,8,"Alert",31
"s_25",10,"L17","L",1,35,"L35",1,0.273877456,1,"Alert",32
"s_25",31,"R19","R",2,35,"R35",0,1.155615202,1,"Alert",33
"s_25",67,"R17flip","L",1,35,"L35",1,0.439777289,1,"Alert",34
"s_25",52,"L21flip","R",2,12,"R12",1,0.345194467,8,"Alert",35
"s_25",53,"L22flip","R",2,12,"R12",1,0.462047536,8,"Alert",36
"s_25",63,"R13flip","L",1,60,"L60",1,0.263762499,1,"Alert",37
"s_25",8,"L15","L",1,35,"L35",1,0.407878432,1,"Alert",38
"s_25",10,"L17","L",1,35,"L35",1,0.430549168,1,"Alert",39
"s_25",7,"L14","L",1,35,"L35",1,0.794424313,1,"Alert",40
"s_25",6,"L13","L",1,60,"L60",1,0.505307839,1,"Alert",41
"s_25",41,"L10flip","R",2,60,"R60",1,0.73346102,8,"Alert",42
"s_25",28,"R16","R",2,35,"R35",1,0.245143871,8,"Alert",43
"s_25",45,"L14flip","R",2,35,"R35",1,0.30425821,8,"Alert",44
"s_25",14,"L21","L",1,12,"L12",1,0.655218219,1,"Alert",45
"s_25",73,"R23flip","L",1,12,"L12",1,1.133137288,1,"Alert",46
"s_25",26,"R14","R",2,35,"R35",1,0.446581523,8,"Alert",47
"s_25",24,"R12","R",2,60,"R60",1,0.539621186,8,"Alert",48
"s_25",57,"L0flip","R",0,0,"R0",0,0.793664379,1,"Alert",49
"s_25",9,"L16","L",1,35,"L35",1,0.439882063,1,"Alert",50
"s_25",50,"L19flip","R",2,35,"R35",1,0.321934225,8,"Alert",51
"s_25",12,"L19","L",1,35,"L35",1,0.660690758,1,"Alert",52
"s_25",68,"R18flip","L",1,35,"L35",1,0.482397075,1,"Alert",53
"s_25",75,"R25flip","L",1,12,"L12",0,0.469447636,8,"Alert",54
"s_25",59,"R9flip","L",1,60,"L60",1,0.318620892,1,"Alert",55
"s_25",16,"L23","L",1,12,"L12",0,0.275846321,8,"Alert",56
"s_25",62,"R12flip","L",1,60,"L60",1,0.221972715,1,"Alert",57
"s_25",40,"L9flip","R",2,60,"R60",1,0.264065498,8,"Alert",58
"s_25",51,"L20flip","R",2,12,"R12",1,0.41565681,8,"Alert",59
"s_25",64,"R14flip","L",1,35,"L35",1,0.333288523,1,"Alert",60
"s_25",54,"L23flip","R",2,12,"R12",1,0.299251173,8,"Alert",61
"s_25",43,"L12flip","R",2,60,"R60",0,0.386605937,1,"Alert",62
"s_25",35,"R23","R",2,12,"R12",1,0.669993829,8,"Alert",63
"s_25",30,"R18","R",2,35,"R35",0,0.390008915,1,"Alert",64
"s_25",72,"R22flip","L",1,12,"L12",0,0.599261018,8,"Alert",65
"s_25",22,"R10","R",2,60,"R60",1,0.984815312,8,"Alert",66
"s_25",11,"L18","L",1,35,"L35",1,0.466478543,1,"Alert",67
"s_25",56,"L25flip","R",2,12,"R12",1,0.361219745,8,"Alert",68
"s_25",56,"L25flip","R",2,12,"R12",0,0.448389553,1,"Alert",69
"s_25",50,"L19flip","R",2,35,"R35",1,0.488591708,8,"Alert",70
"s_25",27,"R15","R",2,35,"R35",1,0.424037944,8,"Alert",71
"s_25",18,"L25","L",1,12,"L12",1,0.412402625,1,"Alert",72
"s_25",33,"R21","R",2,12,"R12",1,0.557237076,8,"Alert",73
"s_25",72,"R22flip","L",1,12,"L12",1,0.541233821,1,"Alert",74
"s_25",3,"L10","L",1,60,"L60",1,0.433368885,1,"Alert",75
"s_25",13,"L20","L",1,12,"L12",0,0.495992729,8,"Alert",76
"s_25",48,"L17flip","R",2,35,"R35",1,0.568647536,8,"Alert",77
"s_25",16,"L23","L",1,12,"L12",0,0.521100407,8,"Alert",78
"s_25",21,"R9","R",2,60,"R60",1,0.380673564,8,"Alert",79
"s_25",66,"R16flip","L",1,35,"L35",1,0.333377431,1,"Alert",80
"s_25",47,"L16flip","R",2,35,"R35",1,0.489277955,8,"Alert",81
"s_25",13,"L20","L",1,12,"L12",0,0.723612492,8,"Alert",82
"s_25",28,"R16","R",2,35,"R35",1,0.309705761,8,"Alert",83
"s_25",11,"L18","L",1,35,"L35",1,0.259678278,1,"Alert",84
"s_25",49,"L18flip","R",2,35,"R35",1,0.443071235,8,"Alert",85
"s_25",76,"R0flip","L",0,0,"L0",1,0.319711012,1,"Alert",86
"s_25",71,"R21flip","L",1,12,"L12",1,0.446407138,1,"Alert",87
"s_25",70,"R20flip","L",1,12,"L12",1,0.370029075,1,"Alert",88
"s_25",29,"R17","R",2,35,"R35",1,0.24755264,8,"Alert",89
"s_25",74,"R24flip","L",1,12,"L12",1,0.475245294,1,"Alert",90
"s_25",29,"R17","R",2,35,"R35",1,0.248275912,8,"Alert",91
"s_25",71,"R21flip","L",1,12,"L12",1,0.278608856,1,"Alert",92
