Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_30",56,"L25flip","R",2,12,"R12",1,1.088979105,8,"Alert",1
"s_30",43,"L12flip","R",2,60,"R60",1,0.408221649,8,"Alert",2
"s_30",7,"L14","L",1,35,"L35",1,0.379563004,1,"Alert",3
"s_30",2,"L9","L",1,60,"L60",1,0.402336403,1,"Alert",4
"s_30",74,"R24flip","L",1,12,"L12",0,0.458933912,8,"Alert",5
"s_30",37,"R25","R",2,12,"R12",1,0.419794921,8,"Alert",6
"s_30",36,"R24","R",2,12,"R12",1,0.410156329,8,"Alert",7
"s_30",71,"R21flip","L",1,12,"L12",0,0.419642777,8,"Alert",8
"s_30",54,"L23flip","R",2,12,"R12",1,0.414040155,8,"Alert",9
"s_30",50,"L19flip","R",2,35,"R35",1,0.414058737,8,"Alert",10
"s_30",59,"R9flip","L",1,60,"L60",1,0.367760277,1,"Alert",11
"s_30",3,"L10","L",1,60,"L60",1,0.341736098,1,"Alert",12
"s_30",55,"L24flip","R",2,12,"R12",1,0.401055764,8,"Alert",13
"s_30",15,"L22","L",1,12,"L12",1,0.48584371,1,"Alert",14
"s_30",72,"R22flip","L",1,12,"L12",1,0.408241836,1,"Alert",15
"s_30",40,"L9flip","R",2,60,"R60",1,0.326293723,8,"Alert",16
"s_30",66,"R16flip","L",1,35,"L35",1,0.331540739,1,"Alert",17
"s_30",24,"R12","R",2,60,"R60",1,0.326808508,8,"Alert",18
"s_30",68,"R18flip","L",1,35,"L35",1,0.498618958,1,"Alert",19
"s_30",65,"R15flip","L",1,35,"L35",1,0.403541706,1,"Alert",20
"s_30",25,"R13","R",2,60,"R60",1,0.238109425,8,"Alert",21
"s_30",52,"L21flip","R",2,12,"R12",1,0.37811089,8,"Alert",22
"s_30",45,"L14flip","R",2,35,"R35",1,0.334054453,8,"Alert",23
"s_30",14,"L21","L",1,12,"L12",1,0.394678097,1,"Alert",24
"s_30",47,"L16flip","R",2,35,"R35",1,0.315222097,8,"Alert",25
"s_30",64,"R14flip","L",1,35,"L35",1,0.329122306,1,"Alert",26
"s_30",72,"R22flip","L",1,12,"L12",0,0.496884153,8,"Alert",27
"s_30",10,"L17","L",1,35,"L35",1,0.383128125,1,"Alert",28
"s_30",29,"R17","R",2,35,"R35",1,0.28423714,8,"Alert",29
"s_30",17,"L24","L",1,12,"L12",1,0.514406576,1,"Alert",30
"s_30",51,"L20flip","R",2,12,"R12",1,0.393004639,8,"Alert",31
"s_30",71,"R21flip","L",1,12,"L12",0,0.620195282,8,"Alert",32
"s_30",73,"R23flip","L",1,12,"L12",0,0.522509866,8,"Alert",33
"s_30",28,"R16","R",2,35,"R35",1,0.325733894,8,"Alert",34
"s_30",30,"R18","R",2,35,"R35",1,0.248464969,8,"Alert",35
"s_30",27,"R15","R",2,35,"R35",1,0.256737137,8,"Alert",36
"s_30",18,"L25","L",1,12,"L12",0,0.427014356,8,"Alert",37
"s_30",26,"R14","R",2,35,"R35",1,0.309145036,8,"Alert",38
"s_30",61,"R11flip","L",1,60,"L60",1,0.414788123,1,"Alert",39
"s_30",48,"L17flip","R",2,35,"R35",1,0.327908625,8,"Alert",40
"s_30",65,"R15flip","L",1,35,"L35",1,0.351123291,1,"Alert",41
"s_30",13,"L20","L",1,12,"L12",1,0.604001337,1,"Alert",42
"s_30",1,"L8","L",1,60,"L60",1,0.365820143,1,"Alert",43
"s_30",34,"R22","R",2,12,"R12",1,0.384175405,8,"Alert",44
"s_30",46,"L15flip","R",2,35,"R35",1,0.364995597,8,"Alert",45
"s_30",6,"L13","L",1,60,"L60",1,0.397013007,1,"Alert",46
"s_30",44,"L13flip","R",2,60,"R60",1,0.415839755,8,"Alert",47
"s_30",16,"L23","L",1,12,"L12",1,0.467244842,1,"Alert",48
"s_30",29,"R17","R",2,35,"R35",1,0.371161819,8,"Alert",49
"s_30",69,"R19flip","L",1,35,"L35",1,0.497400585,1,"Alert",50
"s_30",31,"R19","R",2,35,"R35",1,0.329732918,8,"Alert",51
"s_30",35,"R23","R",2,12,"R12",1,0.427738776,8,"Alert",52
"s_30",8,"L15","L",1,35,"L35",1,0.328815167,1,"Alert",53
"s_30",60,"R10flip","L",1,60,"L60",1,0.341405897,1,"Alert",54
"s_30",70,"R20flip","L",1,12,"L12",1,0.531252448,1,"Alert",55
"s_30",73,"R23flip","L",1,12,"L12",1,0.752027184,1,"Alert",56
"s_30",63,"R13flip","L",1,60,"L60",1,0.463608838,1,"Alert",57
"s_30",8,"L15","L",1,35,"L35",1,0.428645641,1,"Alert",58
"s_30",54,"L23flip","R",2,12,"R12",1,0.323327752,8,"Alert",59
"s_30",11,"L18","L",1,35,"L35",1,0.392702818,1,"Alert",60
"s_30",50,"L19flip","R",2,35,"R35",1,0.327127352,8,"Alert",61
"s_30",42,"L11flip","R",2,60,"R60",1,0.265466566,8,"Alert",62
"s_30",31,"R19","R",2,35,"R35",1,0.361792415,8,"Alert",63
"s_30",76,"R0flip","L",0,0,"L0",1,0.561788099,1,"Alert",64
"s_30",10,"L17","L",1,35,"L35",1,0.425499566,1,"Alert",65
"s_30",75,"R25flip","L",1,12,"L12",0,0.328932392,8,"Alert",66
"s_30",15,"L22","L",1,12,"L12",1,0.593265988,1,"Alert",67
"s_30",19,"L0","L",0,0,"L0",0,0.412525454,8,"Alert",68
"s_30",70,"R20flip","L",1,12,"L12",0,0.740953923,8,"Alert",69
"s_30",46,"L15flip","R",2,35,"R35",1,0.325842864,8,"Alert",70
"s_30",37,"R25","R",2,12,"R12",1,0.7184773,8,"Alert",71
"s_30",53,"L22flip","R",2,12,"R12",1,0.339165967,8,"Alert",72
"s_30",23,"R11","R",2,60,"R60",1,0.331405991,8,"Alert",73
"s_30",33,"R21","R",2,12,"R12",0,0.392717497,1,"Alert",74
"s_30",67,"R17flip","L",1,35,"L35",1,0.572513287,1,"Alert",75
"s_30",36,"R24","R",2,12,"R12",1,0.516037171,8,"Alert",76
"s_30",41,"L10flip","R",2,60,"R60",1,0.318481358,8,"Alert",77
"s_30",67,"R17flip","L",1,35,"L35",1,0.259393839,1,"Alert",78
"s_30",32,"R20","R",2,12,"R12",1,0.271654332,8,"Alert",79
"s_30",17,"L24","L",1,12,"L12",0,0.696229726,8,"Alert",80
"s_30",47,"L16flip","R",2,35,"R35",1,0.517352693,8,"Alert",81
"s_30",30,"R18","R",2,35,"R35",1,0.270160971,8,"Alert",82
"s_30",69,"R19flip","L",1,35,"L35",1,0.355179796,1,"Alert",83
"s_30",11,"L18","L",1,35,"L35",1,0.516622824,1,"Alert",84
"s_30",48,"L17flip","R",2,35,"R35",1,0.358104141,8,"Alert",85
"s_30",14,"L21","L",1,12,"L12",1,0.590074409,1,"Alert",86
"s_30",13,"L20","L",1,12,"L12",1,0.445153728,1,"Alert",87
"s_30",49,"L18flip","R",2,35,"R35",1,0.482208422,8,"Alert",88
"s_30",5,"L12","L",1,60,"L60",1,0.288712591,1,"Alert",89
"s_30",20,"R8","R",2,60,"R60",1,0.287813197,8,"Alert",90
"s_30",12,"L19","L",1,35,"L35",1,0.370356047,1,"Alert",91
"s_30",49,"L18flip","R",2,35,"R35",1,0.466875206,8,"Alert",92
"s_30",18,"L25","L",1,12,"L12",1,0.491904848,1,"Alert",93
"s_30",35,"R23","R",2,12,"R12",1,0.605985463,8,"Alert",94
"s_30",12,"L19","L",1,35,"L35",1,0.402434627,1,"Alert",95
"s_30",34,"R22","R",2,12,"R12",1,0.479243327,8,"Alert",96
"s_30",9,"L16","L",1,35,"L35",1,0.350177748,1,"Alert",97
"s_30",56,"L25flip","R",2,12,"R12",1,0.701627842,8,"Alert",98
"s_30",38,"R0","R",0,0,"R0",1,0.544207642,8,"Alert",99
"s_30",45,"L14flip","R",2,35,"R35",1,0.314079049,8,"Alert",100
"s_30",9,"L16","L",1,35,"L35",1,0.309365629,1,"Alert",101
"s_30",62,"R12flip","L",1,60,"L60",1,0.38074992,1,"Alert",102
"s_30",27,"R15","R",2,35,"R35",1,0.3241893,8,"Alert",103
"s_30",57,"L0flip","R",0,0,"R0",1,0.640324837,8,"Alert",104
"s_30",4,"L11","L",1,60,"L60",1,0.439412794,1,"Alert",105
"s_30",52,"L21flip","R",2,12,"R12",1,0.360112992,8,"Alert",106
"s_30",32,"R20","R",2,12,"R12",1,0.410650015,8,"Alert",107
"s_30",26,"R14","R",2,35,"R35",1,0.507297824,8,"Alert",108
"s_30",68,"R18flip","L",1,35,"L35",1,0.641552598,1,"Alert",109
"s_30",58,"R8flip","L",1,60,"L60",1,0.40958023,1,"Alert",110
"s_30",66,"R16flip","L",1,35,"L35",1,0.60343854,1,"Alert",111
"s_30",21,"R9","R",2,60,"R60",1,0.364372366,8,"Alert",112
"s_30",74,"R24flip","L",1,12,"L12",0,0.616317161,8,"Alert",113
"s_30",64,"R14flip","L",1,35,"L35",1,0.594434675,1,"Alert",114
"s_30",51,"L20flip","R",2,12,"R12",1,0.569867332,8,"Alert",115
"s_30",33,"R21","R",2,12,"R12",1,0.611713137,8,"Alert",116
"s_30",28,"R16","R",2,35,"R35",1,0.699226382,8,"Alert",117
"s_30",39,"L8flip","R",2,60,"R60",1,0.590422851,8,"Alert",118
"s_30",75,"R25flip","L",1,12,"L12",0,0.776171746,8,"Alert",119
"s_30",7,"L14","L",1,35,"L35",1,0.465987937,1,"Alert",120
"s_30",22,"R10","R",2,60,"R60",1,0.239409241,8,"Alert",121
"s_30",16,"L23","L",1,12,"L12",0,0.847865623,8,"Alert",122
"s_30",55,"L24flip","R",2,12,"R12",1,0.583316398,8,"Alert",123
"s_30",53,"L22flip","R",2,12,"R12",1,0.779886577,8,"Alert",124
"s_30",34,"R22","R",2,12,"R12",1,0.958737745,8,"Relaxed",125
"s_30",18,"L25","L",1,12,"L12",0,0.634906084,8,"Relaxed",126
"s_30",17,"L24","L",1,12,"L12",1,0.508571574,1,"Relaxed",127
"s_30",61,"R11flip","L",1,60,"L60",1,0.436392358,1,"Relaxed",128
"s_30",51,"L20flip","R",2,12,"R12",1,0.30165726,8,"Relaxed",129
"s_30",48,"L17flip","R",2,35,"R35",1,0.320650691,8,"Relaxed",130
"s_30",6,"L13","L",1,60,"L60",1,0.380922424,1,"Relaxed",131
"s_30",36,"R24","R",2,12,"R12",1,0.523432531,8,"Relaxed",132
"s_30",29,"R17","R",2,35,"R35",1,0.414247781,8,"Relaxed",133
"s_30",71,"R21flip","L",1,12,"L12",0,0.524216651,8,"Relaxed",134
"s_30",12,"L19","L",1,35,"L35",1,0.417747384,1,"Relaxed",135
"s_30",67,"R17flip","L",1,35,"L35",1,0.61650184,1,"Relaxed",136
"s_30",75,"R25flip","L",1,12,"L12",0,0.629977817,8,"Relaxed",137
"s_30",43,"L12flip","R",2,60,"R60",1,0.535353882,8,"Relaxed",138
"s_30",2,"L9","L",1,60,"L60",1,0.451822476,1,"Relaxed",139
"s_30",1,"L8","L",1,60,"L60",1,0.442238642,1,"Relaxed",140
"s_30",43,"L12flip","R",2,60,"R60",1,0.612741358,8,"Relaxed",141
"s_30",37,"R25","R",2,12,"R12",0,0.9001008,1,"Relaxed",142
"s_30",9,"L16","L",1,35,"L35",1,0.518057741,1,"Relaxed",143
"s_30",13,"L20","L",1,12,"L12",1,0.731796775,1,"Relaxed",144
"s_30",18,"L25","L",1,12,"L12",0,0.587082553,8,"Relaxed",145
"s_30",70,"R20flip","L",1,12,"L12",1,0.66420764,1,"Drowsy",146
"s_30",60,"R10flip","L",1,60,"L60",1,0.533228379,1,"Relaxed",147
"s_30",3,"L10","L",1,60,"L60",1,0.476479878,1,"Relaxed",148
"s_30",39,"L8flip","R",2,60,"R60",1,0.475546484,8,"Relaxed",149
"s_30",27,"R15","R",2,35,"R35",1,0.880787782,8,"Relaxed",150
"s_30",49,"L18flip","R",2,35,"R35",1,0.657709959,8,"Relaxed",151
