Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_33",17,"L24","L",1,12,"L12",1,1.232184008,1,"Alert",1
"s_33",3,"L10","L",1,60,"L60",1,1.066294863,1,"Alert",2
"s_33",49,"L18flip","R",2,35,"R35",1,0.888791426,8,"Alert",3
"s_33",50,"L19flip","R",2,35,"R35",1,1.176011554,8,"Alert",4
"s_33",35,"R23","R",2,12,"R12",1,1.935295859,8,"Alert",5
"s_33",47,"L16flip","R",2,35,"R35",1,1.106541885,8,"Alert",6
"s_33",32,"R20","R",2,12,"R12",1,1.204765914,8,"Alert",7
"s_33",15,"L22","L",1,12,"L12",1,1.861095326,1,"Alert",8
"s_33",58,"R8flip","L",1,60,"L60",1,0.943046899,1,"Alert",9
"s_33",11,"L18","L",1,35,"L35",1,1.043292648,1,"Alert",10
"s_33",19,"L0","L",0,0,"L0",0,1.003526314,8,"Alert",11
"s_33",45,"L14flip","R",2,35,"R35",1,0.959899704,8,"Alert",12
"s_33",16,"L23","L",1,12,"L12",1,1.142993432,1,"Alert",13
"s_33",40,"L9flip","R",2,60,"R60",1,0.907514258,8,"Alert",14
"s_33",33,"R21","R",2,12,"R12",1,1.084441442,8,"Alert",15
"s_33",45,"L14flip","R",2,35,"R35",1,0.836178698,8,"Alert",16
"s_33",27,"R15","R",2,35,"R35",1,0.876659749,8,"Alert",17
"s_33",29,"R17","R",2,35,"R35",1,0.870587344,8,"Alert",18
"s_33",26,"R14","R",2,35,"R35",1,0.734738171,8,"Alert",19
"s_33",13,"L20","L",1,12,"L12",1,0.805980074,1,"Alert",20
"s_33",5,"L12","L",1,60,"L60",1,0.7366207,1,"Alert",21
"s_33",8,"L15","L",1,35,"L35",1,0.923322966,1,"Alert",22
"s_33",50,"L19flip","R",2,35,"R35",1,1.129689013,8,"Alert",23
"s_33",75,"R25flip","L",1,12,"L12",1,1.113363759,1,"Alert",24
"s_33",25,"R13","R",2,60,"R60",1,0.995277769,8,"Alert",25
"s_33",55,"L24flip","R",2,12,"R12",0,0.967812484,1,"Alert",26
"s_33",33,"R21","R",2,12,"R12",1,1.3374835,8,"Alert",27
"s_33",54,"L23flip","R",2,12,"R12",0,1.331402463,1,"Alert",28
"s_33",74,"R24flip","L",1,12,"L12",1,1.267538709,1,"Alert",29
"s_33",71,"R21flip","L",1,12,"L12",1,0.723576855,1,"Alert",30
"s_33",74,"R24flip","L",1,12,"L12",0,0.988892579,8,"Alert",31
"s_33",75,"R25flip","L",1,12,"L12",0,0.98339261,8,"Alert",32
"s_33",12,"L19","L",1,35,"L35",1,1.006014138,1,"Alert",33
"s_33",73,"R23flip","L",1,12,"L12",1,1.178395948,1,"Alert",34
"s_33",48,"L17flip","R",2,35,"R35",1,0.812504542,8,"Alert",35
"s_33",32,"R20","R",2,12,"R12",1,1.070702926,8,"Alert",36
"s_33",34,"R22","R",2,12,"R12",0,1.139584051,1,"Alert",37
"s_33",43,"L12flip","R",2,60,"R60",1,1.070601781,8,"Alert",38
"s_33",21,"R9","R",2,60,"R60",1,0.738896285,8,"Alert",39
"s_33",9,"L16","L",1,35,"L35",1,0.816405257,1,"Alert",40
"s_33",26,"R14","R",2,35,"R35",1,0.84164009,8,"Alert",41
"s_33",53,"L22flip","R",2,12,"R12",0,1.803684068,1,"Alert",42
"s_33",72,"R22flip","L",1,12,"L12",0,1.117451312,8,"Alert",43
"s_33",64,"R14flip","L",1,35,"L35",1,1.064719088,1,"Alert",44
"s_33",7,"L14","L",1,35,"L35",1,1.419031631,1,"Alert",45
"s_33",4,"L11","L",1,60,"L60",1,1.590400433,1,"Alert",46
"s_33",37,"R25","R",2,12,"R12",1,1.050318318,8,"Alert",47
"s_33",68,"R18flip","L",1,35,"L35",1,1.101095164,1,"Alert",48
"s_33",30,"R18","R",2,35,"R35",1,0.911452631,8,"Alert",49
"s_33",48,"L17flip","R",2,35,"R35",1,1.117352852,8,"Alert",50
"s_33",56,"L25flip","R",2,12,"R12",0,0.967796726,1,"Alert",51
"s_33",39,"L8flip","R",2,60,"R60",1,0.812857695,8,"Alert",52
"s_33",67,"R17flip","L",1,35,"L35",1,0.799733293,1,"Alert",53
"s_33",42,"L11flip","R",2,60,"R60",1,0.720300773,8,"Alert",54
"s_33",20,"R8","R",2,60,"R60",1,0.870971539,8,"Alert",55
"s_33",31,"R19","R",2,35,"R35",1,0.951946979,8,"Alert",56
"s_33",44,"L13flip","R",2,60,"R60",1,0.817746561,8,"Alert",57
"s_33",34,"R22","R",2,12,"R12",0,1.511004024,1,"Alert",58
"s_33",23,"R11","R",2,60,"R60",1,0.850055765,8,"Alert",59
"s_33",76,"R0flip","L",0,0,"L0",1,1.238826933,1,"Alert",60
"s_33",62,"R12flip","L",1,60,"L60",1,0.698608806,1,"Alert",61
"s_33",15,"L22","L",1,12,"L12",0,1.175645347,8,"Alert",62
"s_33",63,"R13flip","L",1,60,"L60",0,1.3977762,8,"Alert",63
"s_33",11,"L18","L",1,35,"L35",1,1.952588261,1,"Alert",64
"s_33",52,"L21flip","R",2,12,"R12",0,1.674604746,1,"Alert",65
"s_33",2,"L9","L",1,60,"L60",1,1.05455134,1,"Alert",66
