Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_41",56,"L25flip","R",2,12,"R12",1,1.752428336,8,"Alert",1
"s_41",43,"L12flip","R",2,60,"R60",1,0.703924238,8,"Alert",2
"s_41",7,"L14","L",1,35,"L35",1,0.862688901,1,"Alert",3
"s_41",2,"L9","L",1,60,"L60",0,0.928245747,8,"Alert",4
"s_41",74,"R24flip","L",1,12,"L12",0,0.833619419,8,"Alert",5
"s_41",37,"R25","R",2,12,"R12",1,0.767616634,8,"Alert",6
"s_41",36,"R24","R",2,12,"R12",1,0.584859273,8,"Alert",7
"s_41",71,"R21flip","L",1,12,"L12",0,1.080630125,8,"Alert",8
"s_41",54,"L23flip","R",2,12,"R12",1,0.796184282,8,"Alert",9
"s_41",50,"L19flip","R",2,35,"R35",1,0.985718378,8,"Alert",10
"s_41",59,"R9flip","L",1,60,"L60",1,0.827392478,1,"Alert",11
"s_41",3,"L10","L",1,60,"L60",1,0.891319981,1,"Alert",12
"s_41",55,"L24flip","R",2,12,"R12",0,1.66126107,1,"Alert",13
"s_41",15,"L22","L",1,12,"L12",0,2.35476437,8,"Alert",14
"s_41",72,"R22flip","L",1,12,"L12",0,1.183741716,8,"Alert",15
"s_41",40,"L9flip","R",2,60,"R60",1,1.667231464,8,"Alert",16
"s_41",66,"R16flip","L",1,35,"L35",1,0.64925215,1,"Alert",17
"s_41",24,"R12","R",2,60,"R60",1,0.629813964,8,"Alert",18
"s_41",68,"R18flip","L",1,35,"L35",1,0.914332949,1,"Alert",19
"s_41",65,"R15flip","L",1,35,"L35",1,1.260162397,1,"Alert",20
"s_41",25,"R13","R",2,60,"R60",1,0.60882292,8,"Alert",21
"s_41",52,"L21flip","R",2,12,"R12",1,1.211638462,8,"Alert",22
"s_41",45,"L14flip","R",2,35,"R35",1,0.739498804,8,"Alert",23
"s_41",14,"L21","L",1,12,"L12",1,1.024089381,1,"Alert",24
"s_41",47,"L16flip","R",2,35,"R35",1,0.717184484,8,"Alert",25
"s_41",64,"R14flip","L",1,35,"L35",0,2.385162061,8,"Alert",26
"s_41",72,"R22flip","L",1,12,"L12",0,0.950657144,8,"Alert",27
"s_41",10,"L17","L",1,35,"L35",0,0.926136263,8,"Alert",28
"s_41",29,"R17","R",2,35,"R35",1,0.597885908,8,"Alert",29
"s_41",17,"L24","L",1,12,"L12",0,0.950313842,8,"Alert",30
"s_41",51,"L20flip","R",2,12,"R12",1,0.73901006,8,"Alert",31
"s_41",71,"R21flip","L",1,12,"L12",0,0.885806827,8,"Alert",32
"s_41",73,"R23flip","L",1,12,"L12",0,0.882127239,8,"Alert",33
"s_41",28,"R16","R",2,35,"R35",1,0.710866854,8,"Alert",34
"s_41",30,"R18","R",2,35,"R35",1,0.701843419,8,"Alert",35
"s_41",27,"R15","R",2,35,"R35",1,0.729353031,8,"Alert",36
"s_41",18,"L25","L",1,12,"L12",0,0.926812904,8,"Alert",37
"s_41",26,"R14","R",2,35,"R35",1,0.872599816,8,"Alert",38
"s_41",61,"R11flip","L",1,60,"L60",1,0.609790773,1,"Alert",39
"s_41",48,"L17flip","R",2,35,"R35",1,0.708116806,8,"Alert",40
"s_41",65,"R15flip","L",1,35,"L35",1,0.876067677,1,"Alert",41
"s_41",13,"L20","L",1,12,"L12",0,0.927683272,8,"Alert",42
"s_41",1,"L8","L",1,60,"L60",1,0.630907476,1,"Alert",43
"s_41",34,"R22","R",2,12,"R12",1,0.594430201,8,"Alert",44
"s_41",46,"L15flip","R",2,35,"R35",1,1.023475747,8,"Alert",45
"s_41",6,"L13","L",1,60,"L60",1,0.701207172,1,"Alert",46
"s_41",44,"L13flip","R",2,60,"R60",1,0.663252653,8,"Alert",47
"s_41",16,"L23","L",1,12,"L12",1,0.936796953,1,"Alert",48
"s_41",29,"R17","R",2,35,"R35",1,0.625589011,8,"Alert",49
"s_41",69,"R19flip","L",1,35,"L35",1,0.585812221,1,"Alert",50
"s_41",31,"R19","R",2,35,"R35",1,0.62185438,8,"Alert",51
"s_41",35,"R23","R",2,12,"R12",1,0.779169717,8,"Alert",52
"s_41",8,"L15","L",1,35,"L35",1,0.817852768,1,"Alert",53
"s_41",60,"R10flip","L",1,60,"L60",1,1.05409259,1,"Alert",54
"s_41",70,"R20flip","L",1,12,"L12",0,0.906676678,8,"Alert",55
"s_41",73,"R23flip","L",1,12,"L12",0,1.081250083,8,"Alert",56
"s_41",63,"R13flip","L",1,60,"L60",0,1.165782209,8,"Alert",57
"s_41",8,"L15","L",1,35,"L35",0,0.798807193,8,"Alert",58
"s_41",54,"L23flip","R",2,12,"R12",1,0.868665716,8,"Alert",59
"s_41",11,"L18","L",1,35,"L35",0,0.890826716,8,"Alert",60
"s_41",50,"L19flip","R",2,35,"R35",1,1.942129671,8,"Alert",61
"s_41",42,"L11flip","R",2,60,"R60",1,0.782179831,8,"Alert",62
"s_41",31,"R19","R",2,35,"R35",1,0.894945464,8,"Alert",63
"s_41",76,"R0flip","L",0,0,"L0",0,1.27125621,8,"Alert",64
"s_41",10,"L17","L",1,35,"L35",0,0.886069983,8,"Alert",65
"s_41",75,"R25flip","L",1,12,"L12",0,1.838399827,8,"Alert",66
"s_41",15,"L22","L",1,12,"L12",0,1.373794853,8,"Alert",67
"s_41",19,"L0","L",0,0,"L0",0,0.593004222,8,"Alert",68
"s_41",70,"R20flip","L",1,12,"L12",1,2.128777276,1,"Alert",69
"s_41",46,"L15flip","R",2,35,"R35",1,1.136360952,8,"Alert",70
"s_41",37,"R25","R",2,12,"R12",1,1.331712638,8,"Alert",71
"s_41",53,"L22flip","R",2,12,"R12",1,1.701232942,8,"Alert",72
"s_41",23,"R11","R",2,60,"R60",1,1.097865433,8,"Alert",73
"s_41",33,"R21","R",2,12,"R12",0,0.942359775,1,"Alert",74
"s_41",67,"R17flip","L",1,35,"L35",1,0.68723359,1,"Alert",75
"s_41",36,"R24","R",2,12,"R12",0,1.541513187,1,"Alert",76
"s_41",41,"L10flip","R",2,60,"R60",1,1.183383356,8,"Alert",77
"s_41",67,"R17flip","L",1,35,"L35",0,1.097688049,8,"Alert",78
"s_41",32,"R20","R",2,12,"R12",1,0.868318204,8,"Alert",79
"s_41",17,"L24","L",1,12,"L12",1,1.082577626,1,"Alert",80
"s_41",47,"L16flip","R",2,35,"R35",1,0.569854679,8,"Alert",81
"s_41",30,"R18","R",2,35,"R35",1,0.812771516,8,"Alert",82
"s_41",69,"R19flip","L",1,35,"L35",1,0.702256745,1,"Alert",83
"s_41",11,"L18","L",1,35,"L35",1,1.640240014,1,"Alert",84
"s_41",48,"L17flip","R",2,35,"R35",1,0.876024618,8,"Alert",85
"s_41",14,"L21","L",1,12,"L12",1,1.651576811,1,"Alert",86
"s_41",13,"L20","L",1,12,"L12",0,1.028418738,8,"Alert",87
"s_41",49,"L18flip","R",2,35,"R35",1,1.554387783,8,"Alert",88
"s_41",5,"L12","L",1,60,"L60",0,1.141058202,8,"Alert",89
"s_41",20,"R8","R",2,60,"R60",1,0.633408131,8,"Alert",90
"s_41",12,"L19","L",1,35,"L35",1,0.560904476,1,"Alert",91
"s_41",49,"L18flip","R",2,35,"R35",1,0.807333621,8,"Alert",92
"s_41",18,"L25","L",1,12,"L12",0,0.940984678,8,"Alert",93
"s_41",35,"R23","R",2,12,"R12",1,0.702423308,8,"Alert",94
"s_41",12,"L19","L",1,35,"L35",1,1.27571625,1,"Alert",95
