Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_07",1,"L8","L",1,60,"L60",1,1.41076600644959,1,"Alert",1
"s_07",75,"R25flip","L",1,12,"L12",0,1.173351629742,8,"Alert",2
"s_07",35,"R23","R",2,12,"R12",0,2.63859375609396,1,"Alert",3
"s_07",47,"L16flip","R",2,35,"R35",1,0.870175382777428,8,"Alert",4
"s_07",42,"L11flip","R",2,60,"R60",1,0.892394845257132,8,"Alert",5
"s_07",30,"R18","R",2,35,"R35",1,0.959271845357714,8,"Alert",6
"s_07",6,"L13","L",1,60,"L60",1,0.598254588300015,1,"Alert",7
"s_07",69,"R19flip","L",1,35,"L35",1,0.744109261171312,1,"Alert",8
"s_07",18,"L25","L",1,12,"L12",0,0.85455381463699,8,"Alert",9
"s_07",52,"L21flip","R",2,12,"R12",1,0.924750545505303,8,"Alert",10
"s_07",27,"R15","R",2,35,"R35",1,0.640844542791632,8,"Alert",11
"s_07",34,"R22","R",2,12,"R12",1,2.7019770590131,8,"Alert",12
"s_07",30,"R18","R",2,35,"R35",1,0.860851501448181,8,"Alert",13
"s_07",74,"R24flip","L",1,12,"L12",1,0.627287991904147,1,"Alert",14
"s_07",16,"L23","L",1,12,"L12",1,0.648473919406852,1,"Alert",15
"s_07",45,"L14flip","R",2,35,"R35",1,0.64738444832633,8,"Alert",16
"s_07",39,"L8flip","R",2,60,"R60",1,0.559219398845971,8,"Alert",17
"s_07",7,"L14","L",1,35,"L35",1,0.620046575786749,1,"Alert",18
"s_07",64,"R14flip","L",1,35,"L35",1,0.621676420417807,1,"Alert",19
"s_07",47,"L16flip","R",2,35,"R35",1,0.836057438680688,8,"Alert",20
"s_07",20,"R8","R",2,60,"R60",1,0.705225458419461,8,"Alert",21
"s_07",31,"R19","R",2,35,"R35",1,0.726350831241289,8,"Alert",22
"s_07",28,"R16","R",2,35,"R35",1,0.750081594866605,8,"Alert",23
"s_07",24,"R12","R",2,60,"R60",1,0.89058231023292,8,"Alert",24
"s_07",28,"R16","R",2,35,"R35",1,0.883502031147686,8,"Alert",25
"s_07",23,"R11","R",2,60,"R60",1,0.782857585654083,8,"Alert",26
"s_07",50,"L19flip","R",2,35,"R35",1,1.46646040442316,8,"Alert",27
"s_07",12,"L19","L",1,35,"L35",1,0.61131592505999,1,"Alert",28
"s_07",59,"R9flip","L",1,60,"L60",1,0.590013506772887,1,"Alert",29
"s_07",9,"L16","L",1,35,"L35",1,0.617804513068521,1,"Alert",30
"s_07",14,"L21","L",1,12,"L12",1,0.728224434121639,1,"Alert",31
"s_07",61,"R11flip","L",1,60,"L60",1,0.537555191999392,1,"Alert",32
"s_07",70,"R20flip","L",1,12,"L12",1,0.733217629417669,1,"Alert",33
"s_07",17,"L24","L",1,12,"L12",1,1.08913802977648,1,"Alert",34
"s_07",46,"L15flip","R",2,35,"R35",1,0.587539488836385,8,"Alert",35
"s_07",9,"L16","L",1,35,"L35",1,0.632573697099328,1,"Alert",36
"s_07",41,"L10flip","R",2,60,"R60",1,0.547345549641496,8,"Alert",37
"s_07",49,"L18flip","R",2,35,"R35",1,0.906179245960797,8,"Alert",38
"s_07",35,"R23","R",2,12,"R12",0,2.32640717788502,1,"Alert",39
"s_07",11,"L18","L",1,35,"L35",1,0.626135913441702,1,"Alert",40
"s_07",36,"R24","R",2,12,"R12",0,1.05233002095808,1,"Alert",41
"s_07",55,"L24flip","R",2,12,"R12",0,1.32530949600031,1,"Alert",42
"s_07",65,"R15flip","L",1,35,"L35",1,0.660900971543405,1,"Alert",43
"s_07",65,"R15flip","L",1,35,"L35",1,0.652663995418371,1,"Alert",44
"s_07",73,"R23flip","L",1,12,"L12",0,1.02421314837128,8,"Alert",45
"s_07",63,"R13flip","L",1,60,"L60",1,0.632981158257093,1,"Alert",46
"s_07",26,"R14","R",2,35,"R35",1,0.592634292834226,8,"Alert",47
"s_07",13,"L20","L",1,12,"L12",1,2.01431758980054,1,"Alert",48
"s_07",76,"R0flip","L",0,0,"L0",0,1.25651116772004,8,"Alert",49
"s_07",38,"R0","R",0,0,"R0",1,1.28477840065851,8,"Alert",50
"s_07",56,"L25flip","R",2,12,"R12",0,2.60054027091548,1,"Alert",51
"s_07",40,"L9flip","R",2,60,"R60",1,0.704839550622687,8,"Alert",52
"s_07",53,"L22flip","R",2,12,"R12",1,1.44596880304949,8,"Alert",53
"s_07",60,"R10flip","L",1,60,"L60",1,0.649505914858066,1,"Alert",54
"s_07",57,"L0flip","R",0,0,"R0",1,0.913684947337955,8,"Alert",55
"s_07",8,"L15","L",1,35,"L35",1,0.664889882852351,1,"Alert",56
"s_07",66,"R16flip","L",1,35,"L35",1,0.822457781071223,1,"Alert",57
"s_07",49,"L18flip","R",2,35,"R35",1,0.595185287059978,8,"Alert",58
"s_07",13,"L20","L",1,12,"L12",1,0.647228443046783,1,"Alert",59
"s_07",55,"L24flip","R",2,12,"R12",1,0.659804316009221,8,"Alert",60
"s_07",71,"R21flip","L",1,12,"L12",1,0.588283079790542,1,"Alert",61
"s_07",15,"L22","L",1,12,"L12",1,0.669722454291479,1,"Alert",62
"s_07",2,"L9","L",1,60,"L60",1,0.704371534784046,1,"Alert",63
"s_07",67,"R17flip","L",1,35,"L35",1,0.604575881173242,1,"Alert",64
"s_07",53,"L22flip","R",2,12,"R12",1,1.01689834819147,8,"Alert",65
"s_07",58,"R8flip","L",1,60,"L60",1,0.800343519520161,1,"Alert",66
"s_07",44,"L13flip","R",2,60,"R60",1,0.483646130761162,8,"Alert",67
"s_07",48,"L17flip","R",2,35,"R35",1,1.10451173426553,8,"Alert",68
"s_07",33,"R21","R",2,12,"R12",1,0.692759404963021,8,"Alert",69
"s_07",33,"R21","R",2,12,"R12",1,0.828622555489641,8,"Alert",70
"s_07",54,"L23flip","R",2,12,"R12",0,0.813630140220008,1,"Alert",71
"s_07",66,"R16flip","L",1,35,"L35",1,0.66936271843305,1,"Alert",72
"s_07",62,"R12flip","L",1,60,"L60",1,0.757682746842433,1,"Alert",73
"s_07",75,"R25flip","L",1,12,"L12",1,1.04289991234967,1,"Alert",74
"s_07",32,"R20","R",2,12,"R12",1,0.695384809601714,8,"Alert",75
"s_07",31,"R19","R",2,35,"R35",1,0.821929723726966,8,"Alert",76
"s_07",25,"R13","R",2,60,"R60",1,0.690904789567352,8,"Alert",77
"s_07",74,"R24flip","L",1,12,"L12",1,0.454152922122575,1,"Alert",78
"s_07",73,"R23flip","L",1,12,"L12",1,0.922994972935137,1,"Alert",79
"s_07",4,"L11","L",1,60,"L60",1,0.661694853673206,1,"Alert",80
"s_07",68,"R18flip","L",1,35,"L35",1,0.88090382479786,1,"Alert",81
"s_07",19,"L0","L",0,0,"L0",0,1.14692002471452,8,"Alert",82
"s_07",69,"R19flip","L",1,35,"L35",1,0.736287443832968,1,"Alert",83
"s_07",67,"R17flip","L",1,35,"L35",1,0.79958042790606,1,"Alert",84
"s_07",26,"R14","R",2,35,"R35",1,0.551274419444826,8,"Alert",85
"s_07",37,"R25","R",2,12,"R12",0,0.736358775194339,1,"Alert",86
"s_07",52,"L21flip","R",2,12,"R12",1,1.50170528139452,8,"Alert",87
"s_07",51,"L20flip","R",2,12,"R12",1,0.647170454242215,8,"Alert",88
"s_07",27,"R15","R",2,35,"R35",1,0.504017135948338,8,"Alert",89
"s_07",15,"L22","L",1,12,"L12",1,0.662734546753345,1,"Alert",90
"s_07",10,"L17","L",1,35,"L35",1,0.672146694227599,1,"Alert",91
"s_07",37,"R25","R",2,12,"R12",1,0.993078805245883,8,"Alert",92
"s_07",18,"L25","L",1,12,"L12",1,1.22631285627193,1,"Alert",93
"s_07",45,"L14flip","R",2,35,"R35",1,0.626620350888717,8,"Alert",94
"s_07",51,"L20flip","R",2,12,"R12",0,1.23687451633232,1,"Alert",95
"s_07",50,"L19flip","R",2,35,"R35",1,0.757128517559831,8,"Alert",96
"s_07",32,"R20","R",2,12,"R12",1,0.669611095259697,8,"Alert",97
"s_07",71,"R21flip","L",1,12,"L12",1,0.702562078811404,1,"Alert",98
"s_07",3,"L10","L",1,60,"L60",1,0.636299349499038,1,"Alert",99
"s_07",48,"L17flip","R",2,35,"R35",1,0.652280140322644,8,"Alert",100
"s_07",22,"R10","R",2,60,"R60",1,0.642019714140852,8,"Alert",101
"s_07",72,"R22flip","L",1,12,"L12",1,0.842390534584934,1,"Alert",102
"s_07",10,"L17","L",1,35,"L35",1,0.708460002093755,1,"Alert",103
"s_07",11,"L18","L",1,35,"L35",1,0.573953173783723,1,"Alert",104
"s_07",17,"L24","L",1,12,"L12",1,0.616757122359457,1,"Alert",105
"s_07",68,"R18flip","L",1,35,"L35",1,0.655188304530516,1,"Alert",106
"s_07",29,"R17","R",2,35,"R35",1,0.505857895611941,8,"Alert",107
"s_07",29,"R17","R",2,35,"R35",1,0.626050213173004,8,"Alert",108
"s_07",21,"R9","R",2,60,"R60",1,0.79405814891525,8,"Alert",109
"s_07",72,"R22flip","L",1,12,"L12",1,0.748520002545349,1,"Alert",110
"s_07",70,"R20flip","L",1,12,"L12",1,0.642727896001954,1,"Alert",111
"s_07",8,"L15","L",1,35,"L35",1,1.1061749352886,1,"Alert",112
"s_07",5,"L12","L",1,60,"L60",1,0.715130767320178,1,"Alert",113
"s_07",34,"R22","R",2,12,"R12",1,0.837379378154745,8,"Alert",114
"s_07",43,"L12flip","R",2,60,"R60",1,0.740481625246581,8,"Alert",115
"s_07",46,"L15flip","R",2,35,"R35",1,0.701512122226031,8,"Alert",116
"s_07",36,"R24","R",2,12,"R12",0,0.793037956495054,1,"Alert",117
"s_07",7,"L14","L",1,35,"L35",1,0.781349876735302,1,"Alert",118
"s_07",56,"L25flip","R",2,12,"R12",0,1.26472966953566,1,"Alert",119
"s_07",16,"L23","L",1,12,"L12",1,1.52306568848619,1,"Alert",120
"s_07",12,"L19","L",1,35,"L35",1,0.7017856446405,1,"Alert",121
"s_07",14,"L21","L",1,12,"L12",1,1.06867260034116,1,"Alert",122
"s_07",64,"R14flip","L",1,35,"L35",1,0.61721949327022,1,"Alert",123
"s_07",54,"L23flip","R",2,12,"R12",1,0.642643735259041,8,"Alert",124
"s_07",44,"L13flip","R",2,60,"R60",1,0.989162251648832,8,"Drowsy",125
"s_07",18,"L25","L",1,12,"L12",1,0.806291733978155,1,"Drowsy",126
"s_07",67,"R17flip","L",1,35,"L35",1,0.671401563747657,1,"Relaxed",127
"s_07",37,"R25","R",2,12,"R12",1,1.11853681416692,8,"Drowsy",128
"s_07",8,"L15","L",1,35,"L35",1,0.655669149750699,1,"Drowsy",129
"s_07",72,"R22flip","L",1,12,"L12",1,2.15161198613195,1,"Drowsy",130
"s_07",8,"L15","L",1,35,"L35",1,0.757684799543479,1,"Relaxed",131
"s_07",8,"L15","L",1,35,"L35",1,0.802419313453608,1,"Relaxed",132
"s_07",52,"L21flip","R",2,12,"R12",1,0.800352243499609,8,"Drowsy",133
"s_07",4,"L11","L",1,60,"L60",1,0.701254508244674,1,"Drowsy",134
"s_07",40,"L9flip","R",2,60,"R60",1,0.688492865837512,8,"NA",135
