Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_05",52,"L21flip","R",2,12,"R12",1,1.45612688220822,8,"Alert",1
"s_05",54,"L23flip","R",2,12,"R12",1,1.07217282599882,8,"Alert",2
"s_05",25,"R13","R",2,60,"R60",1,1.05268335589605,8,"Alert",3
"s_05",16,"L23","L",1,12,"L12",1,0.845901402104645,1,"Alert",4
"s_05",64,"R14flip","L",1,35,"L35",1,0.75516693163752,1,"Alert",5
"s_05",51,"L20flip","R",2,12,"R12",1,1.17214860400217,8,"Alert",6
"s_05",21,"R9","R",2,60,"R60",1,0.810674818668591,8,"Alert",7
"s_05",17,"L24","L",1,12,"L12",1,0.83520266934614,1,"Alert",8
"s_05",20,"R8","R",2,60,"R60",1,0.778455970876128,8,"Alert",9
"s_05",32,"R20","R",2,12,"R12",1,1.15363211918865,8,"Alert",10
"s_05",60,"R10flip","L",1,60,"L60",1,0.790415068545171,1,"Alert",11
"s_05",29,"R17","R",2,35,"R35",1,0.806724888409467,8,"Alert",12
"s_05",38,"R0","R",0,0,"R0",1,0.938568500524981,8,"Alert",13
"s_05",1,"L8","L",1,60,"L60",1,0.661337485284624,1,"Alert",14
"s_05",63,"R13flip","L",1,60,"L60",1,0.943316422411094,1,"Alert",15
"s_05",26,"R14","R",2,35,"R35",1,0.659765621391718,8,"Alert",16
"s_05",17,"L24","L",1,12,"L12",1,0.813246866279183,1,"Alert",17
"s_05",24,"R12","R",2,60,"R60",1,0.630598129363937,8,"Alert",18
"s_05",30,"R18","R",2,35,"R35",1,0.835509036549556,8,"Alert",19
"s_05",23,"R11","R",2,60,"R60",1,0.753766469161601,8,"Alert",20
"s_05",22,"R10","R",2,60,"R60",1,0.640614848699761,8,"Alert",21
"s_05",65,"R15flip","L",1,35,"L35",1,0.545407519698333,1,"Alert",22
"s_05",48,"L17flip","R",2,35,"R35",1,0.825360430494673,8,"Alert",23
"s_05",73,"R23flip","L",1,12,"L12",1,0.679338226313504,1,"Alert",24
"s_05",69,"R19flip","L",1,35,"L35",1,0.762452518215249,1,"Alert",25
"s_05",64,"R14flip","L",1,35,"L35",1,0.633002367802808,1,"Alert",26
"s_05",72,"R22flip","L",1,12,"L12",1,0.611880991993399,1,"Alert",27
"s_05",37,"R25","R",2,12,"R12",0,0.805553816452689,1,"Alert",28
"s_05",66,"R16flip","L",1,35,"L35",1,0.693453697498053,1,"Alert",29
"s_05",41,"L10flip","R",2,60,"R60",1,0.631363277605635,8,"Alert",30
"s_05",7,"L14","L",1,35,"L35",1,0.785608644379009,1,"Alert",31
"s_05",50,"L19flip","R",2,35,"R35",1,0.809885551065819,8,"Alert",32
"s_05",47,"L16flip","R",2,35,"R35",1,0.791704171417839,8,"Alert",33
"s_05",59,"R9flip","L",1,60,"L60",1,0.719287585918809,1,"Alert",34
"s_05",44,"L13flip","R",2,60,"R60",1,0.596389177694004,8,"Alert",35
"s_05",6,"L13","L",1,60,"L60",1,0.641339969065637,1,"Alert",36
"s_05",10,"L17","L",1,35,"L35",1,0.672586857924647,1,"Alert",37
