Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_20",47,"L16flip","R",2,35,"R35",1,0.420996035,8,"Alert",1
"s_20",31,"R19","R",2,35,"R35",1,0.446630159,8,"Alert",2
"s_20",76,"R0flip","L",0,0,"L0",0,0.632260682,8,"Alert",3
"s_20",65,"R15flip","L",1,35,"L35",1,0.290321627,1,"Alert",4
"s_20",28,"R16","R",2,35,"R35",1,0.290765342,8,"Alert",5
"s_20",74,"R24flip","L",1,12,"L12",1,0.28630328,1,"Alert",6
"s_20",27,"R15","R",2,35,"R35",1,0.245722261,8,"Alert",7
"s_20",60,"R10flip","L",1,60,"L60",1,0.277483454,1,"Alert",8
"s_20",45,"L14flip","R",2,35,"R35",1,0.259594415,8,"Alert",9
"s_20",38,"R0","R",0,0,"R0",1,0.375822724,8,"Alert",10
"s_20",49,"L18flip","R",2,35,"R35",1,0.288110105,8,"Alert",11
"s_20",71,"R21flip","L",1,12,"L12",1,0.260888179,1,"Alert",12
"s_20",46,"L15flip","R",2,35,"R35",1,0.292665814,8,"Alert",13
"s_20",69,"R19flip","L",1,35,"L35",1,0.253645968,1,"Alert",14
"s_20",5,"L12","L",1,60,"L60",1,0.249884944,1,"Alert",15
"s_20",62,"R12flip","L",1,60,"L60",1,0.26957281,1,"Alert",16
"s_20",30,"R18","R",2,35,"R35",1,0.231983018,8,"Alert",17
"s_20",72,"R22flip","L",1,12,"L12",1,0.23918454,1,"Alert",18
"s_20",53,"L22flip","R",2,12,"R12",1,0.255101983,8,"Alert",19
"s_20",12,"L19","L",1,35,"L35",1,0.447020817,1,"Alert",20
"s_20",55,"L24flip","R",2,12,"R12",1,0.273731187,8,"Alert",21
"s_20",53,"L22flip","R",2,12,"R12",1,0.325351098,8,"Alert",22
"s_20",13,"L20","L",1,12,"L12",1,0.2079638,1,"Alert",23
"s_20",41,"L10flip","R",2,60,"R60",1,0.241918575,8,"Alert",24
"s_20",32,"R20","R",2,12,"R12",1,0.319256131,8,"Alert",25
"s_20",4,"L11","L",1,60,"L60",1,0.230546169,1,"Alert",26
