"Stim","state","subj_idx","totresp","errcnt","p_err","Stimstate"
"Left","Alert",38,56,10,0.178571428571429,"Left.Alert"
"Right","Alert",38,56,4,0.0714285714285714,"Right.Alert"
"Left","Drowsy",38,32,6,0.1875,"Left.Drowsy"
"Right","Drowsy",38,33,5,0.151515151515152,"Right.Drowsy"
"Left","Alert",39,56,12,0.214285714285714,"Left.Alert"
"Right","Alert",39,55,2,0.0363636363636364,"Right.Alert"
"Left","Drowsy",39,171,45,0.263157894736842,"Left.Drowsy"
"Right","Drowsy",39,220,4,0.0181818181818182,"Right.Drowsy"
"Left","Alert",41,56,25,0.446428571428571,"Left.Alert"
"Right","Alert",41,56,4,0.0714285714285714,"Right.Alert"
"Left","Drowsy",41,165,119,0.721212121212121,"Left.Drowsy"
"Right","Drowsy",41,134,4,0.0298507462686567,"Right.Drowsy"
"Left","Alert",42,56,5,0.0892857142857143,"Left.Alert"
"Right","Alert",42,56,8,0.142857142857143,"Right.Alert"
"Left","Drowsy",42,283,51,0.180212014134276,"Left.Drowsy"
"Right","Drowsy",42,279,36,0.129032258064516,"Right.Drowsy"
"Left","Alert",43,48,6,0.125,"Left.Alert"
"Right","Alert",43,49,13,0.26530612244898,"Right.Alert"
"Left","Drowsy",43,199,58,0.291457286432161,"Left.Drowsy"
"Right","Drowsy",43,182,54,0.296703296703297,"Right.Drowsy"
"Left","Alert",44,56,1,0.0178571428571429,"Left.Alert"
"Right","Alert",44,56,3,0.0535714285714286,"Right.Alert"
"Left","Drowsy",44,65,4,0.0615384615384615,"Left.Drowsy"
"Right","Drowsy",44,58,5,0.0862068965517241,"Right.Drowsy"
"Left","Alert",45,44,21,0.477272727272727,"Left.Alert"
"Right","Alert",45,44,2,0.0454545454545455,"Right.Alert"
"Left","Drowsy",45,133,58,0.43609022556391,"Left.Drowsy"
"Right","Drowsy",45,151,10,0.0662251655629139,"Right.Drowsy"
"Left","Alert",46,55,5,0.0909090909090909,"Left.Alert"
"Right","Alert",46,56,1,0.0178571428571429,"Right.Alert"
"Left","Drowsy",46,30,8,0.266666666666667,"Left.Drowsy"
"Right","Drowsy",46,29,0,0,"Right.Drowsy"
