Subj_id,Stim_id,Wav_fname,Stim_loc,Stim_lat,Stim_ang,Stim_dts,Acc,RT,Resp_but,Alertness,ovtrialsnos
"s_39_awake",56,"L25flip","R",2,12,"R12",0,2.277945333,1,"Alert",1
"s_39_awake",43,"L12flip","R",2,60,"R60",1,0.521629035,8,"Alert",2
"s_39_awake",7,"L14","L",1,35,"L35",1,0.681842416,1,"Alert",3
"s_39_awake",2,"L9","L",1,60,"L60",0,1.051809407,8,"Alert",4
"s_39_awake",74,"R24flip","L",1,12,"L12",0,0.583069171,8,"Alert",5
"s_39_awake",37,"R25","R",2,12,"R12",1,0.504311139,8,"Alert",6
"s_39_awake",36,"R24","R",2,12,"R12",1,0.775873027,8,"Alert",7
"s_39_awake",71,"R21flip","L",1,12,"L12",0,1.005615342,8,"Alert",8
"s_39_awake",54,"L23flip","R",2,12,"R12",1,1.28030654,8,"Alert",9
"s_39_awake",50,"L19flip","R",2,35,"R35",1,0.995216172,8,"Alert",10
"s_39_awake",59,"R9flip","L",1,60,"L60",1,2.295051762,1,"Alert",11
"s_39_awake",3,"L10","L",1,60,"L60",1,0.685830032,1,"Alert",12
"s_39_awake",55,"L24flip","R",2,12,"R12",1,4.316834983,8,"Alert",13
"s_39_awake",15,"L22","L",1,12,"L12",1,0.755690777,1,"Alert",14
"s_39_awake",72,"R22flip","L",1,12,"L12",0,0.906184441,8,"Alert",15
"s_39_awake",40,"L9flip","R",2,60,"R60",1,1.030916768,8,"Alert",16
"s_39_awake",66,"R16flip","L",1,35,"L35",1,0.488436504,1,"Alert",17
"s_39_awake",24,"R12","R",2,60,"R60",1,0.550353117,8,"Alert",18
"s_39_awake",68,"R18flip","L",1,35,"L35",1,0.604427905,1,"Alert",19
"s_39_awake",65,"R15flip","L",1,35,"L35",1,0.494574181,1,"Alert",20
"s_39_awake",25,"R13","R",2,60,"R60",1,0.491319127,8,"Alert",21
"s_39_awake",52,"L21flip","R",2,12,"R12",1,0.658488736,8,"Alert",22
"s_39_awake",45,"L14flip","R",2,35,"R35",1,0.64084931,8,"Alert",23
