subject,Left#,Right#
02,126.0,175.0
04,324.0,197.0
05,243.0,342.0
06,219.0,231.0
07,220.0,216.0
09,138.0,63.0
10,139.0,161.0
20,123.0,167.0
21,203.0,254.0
22,366.0,170.0
23,283.0,261.0
24,31.0,142.0
25,35.0,31.0
26,88.0,133.0
27,129.0,156.0
28,76.0,127.0
30,80.0,121.0
31,68.0,78.0
32,,
33,132.0,177.0
34,,
35,61.0,104.0
36,72.0,327.0
37,49.0,114.0
38,56.0,69.0
39,146.0,297.0
41,58.0,267.0
42,271.0,314.0
43,204.0,201.0
44,68.0,66.0
45,137.0,286.0
46,34.0,51.0
